HasPart(AdvancedArchitecture, Karnak).
HasPart(MachineLearning, RandomForests).
HasPart(MachineLearning, Recall).
HasPart(MachineLearning, RecommendationSystems).
HasPart(MachineLearning, Regression).
HasPart(MachineLearning, SVM).
HasPart(MachineLearning, SupervisedLearning).
HasPart(MachineLearning, SupportVectorMachines).
HasPart(MachineLearning, Underfitting).
HasPart(MachineLearning, Variance).
HasPart(MachineLearning, VoiceRecognition).
HasPart(MainSequenceStars, CnoCycle).
HasPart(MainSequenceStars, Helium).
HasPart(MainSequenceStars, Hydrogen).
HasPart(MainSequenceStars, ProtonProtonChain).
HasPart(MajorEvents, DeclarationOfTheRightsOfMan).
HasPart(MajorEvents, DeclarationRightsMan).
HasPart(MajorEvents, EstatesGeneral).
HasPart(MajorEvents, ReignOfTerror).
HasPart(MajorEvents, ReignTerror).
HasPart(MajorEvents, RiseNapoleon).
HasPart(MajorEvents, RiseOfNapoleon).
HasPart(MajorEvents, StormingBastille).
HasPart(MajorEvents, StormingOfTheBastille).
HasPart(MajorEvents, TennisCourtOath).
HasPart(MajorPlates, AfricanPlate).
HasPart(MajorPlates, AntarcticPlate).
HasPart(MajorPlates, EurasianPlate).
HasPart(MajorPlates, IndoAustralianPlate).
HasPart(MajorPlates, NorthAmericanPlate).
HasPart(MajorPlates, PacificPlate).
HasPart(MajorPlates, SouthAmericanPlate).
HasPart(MajorRoutes, LandRoutes).
HasPart(MajorRoutes, MaritimeRoutes).
HasPart(MassiveStars, CoreCollapseSupernovae).
HasPart(MassiveStars, FuseHeavierElements).
HasPart(MassiveStars, Magnesium).
HasPart(MassiveStars, Neon).
HasPart(MassiveStars, OnionLayerStructure).
HasPart(MassiveStars, ShellBurningStages).
HasPart(MassiveStars, Silicon).
HasPart(Metaphysics, PracticalReason).
HasPart(Metaphysics, TheoreticalReason).
HasPart(Mind, CategoriesOfUnderstanding).
HasPart(ModelEvaluation, Accuracy).
HasPart(ModelEvaluation, Metrics).
HasPart(ModelEvaluation, Precision).
HasPart(ModelEvaluation, Recall).
HasPart(ModelEvaluation, ValidationTechniques).
HasPart(ModelTraining, TestSet).
HasPart(ModelTraining, TrainingSet).
HasPart(ModelTraining, ValidationSet).
HasPart(ModernPhilosophyFoundation, Epistemology).
HasPart(ModernPhilosophyFoundation, Ethics).
HasPart(ModernPhilosophyFoundation, Metaphysics).
HasPart(MoralPhilosophy, CategoricalImperative).
HasPart(Motherboard, CPU).
HasPart(Motherboard, CPU_Socket).
HasPart(Motherboard, RAM).
HasPart(NapoleonBonaparte, RiseOfNapoleon).
HasPart(NeuralNetworks, Neurotransmitters).
HasPart(NeuralNetworks, Synapses).
HasPart(Neurons, Axon).
HasPart(Neurons, CellBody).
HasPart(Neurons, Dendrites).
HasPart(Neurons, Synapses).
HasPart(NeutronCapture, Barium).
HasPart(NeutronCapture, Gold).
HasPart(NeutronCapture, Lead).
HasPart(NeutronCapture, Uranium).
HasPart(NewKeynesianism, Microfoundations).
HasPart(NewKeynesianism, PriceRigidities).
HasPart(NotreDame, Spire).
HasPart(Nucleotide, DeoxyriboseSugar).
HasPart(Nucleotide, NitrogenousBase).
HasPart(Nucleotide, PhosphateGruppe).
HasPart(Nucleotides, Adenine).
HasPart(Nucleotides, Cytosine).
HasPart(Nucleotides, Deoxyribose).
HasPart(Nucleotides, Guanine).
HasPart(Nucleotides, NitrogenousBases).
HasPart(Nucleotides, PhosphateGroup).
HasPart(Nucleotides, Sugar).
HasPart(Nucleotides, SugarDeoxyribose).
HasPart(Nucleotides, Thymine).
HasPart(Optimization, GradientDescent).
HasPart(Optimization, LossFunctions).
HasPart(OtherProcesses, BigBangNucleosynthesis).
HasPart(OtherProcesses, SlowNeutronCapture).
HasPart(Pharaohs, CleopatraVII).
HasPart(Pharaohs, Tutankhamun).
HasPart(PharaonicMonarchy, Farmer).
HasPart(PharaonicMonarchy, Pharaoh).
HasPart(PharaonicMonarchy, Priest).
HasPart(PharaonicMonarchy, Scribe).
HasPart(PharaonicMonarchy, Slave).
HasPart(PharaonicMonarchy, Soldier).
HasPart(Plasticity, Neurogenesis).
HasPart(Plasticity, SynapticPlasticity).
HasPart(PlateBoundaries, Convergent).
HasPart(PlateBoundaries, ConvergentBoundaries).
HasPart(PlateBoundaries, Divergent).
HasPart(PlateBoundaries, DivergentBoundaries).
HasPart(PlateBoundaries, Transform).
HasPart(PlateBoundaries, TransformBoundaries).
HasPart(PlateTectonics, Lithosphere).
HasPart(Plates, Supercontinents).
HasPart(PolytheisticReligion, Isis).
HasPart(PolytheisticReligion, Osiris).
HasPart(PolytheisticReligion, Ra).
HasPart(PostWWIIEconomicPolicies, AutomaticStabilizers).
HasPart(PostWWIIEconomicPolicies, ModernStimulusPackages).
HasPart(PostWWIIEconomicPolicies, NewDealPrograms).
HasPart(PostWWIIEconomicPolicies, StimulusPackages).
HasPart(PtolemaicDynasty, CleopatraVII).
HasPart(Pyramids, GizaGreatPyramid).
HasPart(QuantumCryptography, QuantumKeyDistribution).
HasPart(QuantumEntanglement, Alain Aspect’s Experiments).
HasPart(QuantumEntanglement, Bell’s Theorem Violations).
HasPart(QuantumEntanglement, Electrons).
HasPart(QuantumEntanglement, MacroscopicSystems).
HasPart(QuantumEntanglement, Momentum).
HasPart(QuantumEntanglement, Photons).
HasPart(QuantumEntanglement, Polarization).
HasPart(QuantumEntanglement, QuantumComputing).
HasPart(QuantumEntanglement, QuantumCryptography).
HasPart(QuantumEntanglement, Spin).
HasPart(QuantumEntanglement, Teleportation).
HasPart(QuantumTechnologies, QuantumComputing).
HasPart(QuantumTechnologies, QuantumCryptography).
HasPart(RadicalJacobins, ReignOfTerror).
HasPart(RedGiants, TripleAlphaProcess).
HasPart(RedGiantsSupergiants, Carbon).
HasPart(RedGiantsSupergiants, Helium).
HasPart(RedGiantsSupergiants, Oxygen).
HasPart(RedGiantsSupergiants, TripleAlphaProcess).
HasPart(ReignOfTerror, CommitteeOfPublicSafety).
HasPart(ReinforcementLearning, Penalties).
HasPart(ReinforcementLearning, Rewards).
HasPart(Robespierre, RadicalJacobins).
HasPart(SendEnvoy, ZhangQian).
HasPart(SilkRoad, Africa).
HasPart(SilkRoad, Buddhism).
HasPart(SilkRoad, CentralAsia).
HasPart(SilkRoad, ChangAnXiAn).
HasPart(SilkRoad, China).
HasPart(SilkRoad, CulturalIdeas).
HasPart(SilkRoad, Druck).
HasPart(SilkRoad, EastAsia).
HasPart(SilkRoad, Edelsteine).
HasPart(SilkRoad, Europe).
HasPart(SilkRoad, Gewuerze).
HasPart(SilkRoad, Glas).
HasPart(SilkRoad, Gold).
HasPart(SilkRoad, India).
HasPart(SilkRoad, Indien).
HasPart(SilkRoad, Kompass).
HasPart(SilkRoad, Konstantinopel).
HasPart(SilkRoad, LandRoute).
HasPart(SilkRoad, LandRoutes).
HasPart(SilkRoad, Landrouten).
HasPart(SilkRoad, Mediterranean).
HasPart(SilkRoad, MiddleEast).
HasPart(SilkRoad, NorthernRoute).
HasPart(SilkRoad, Papier).
HasPart(SilkRoad, Papierherstellung).
HasPart(SilkRoad, Persia).
HasPart(SilkRoad, Persien).
HasPart(SilkRoad, PreciousMetals).
HasPart(SilkRoad, RoemischesReich).
HasPart(SilkRoad, Rom).
HasPart(SilkRoad, Schiesspulver).
HasPart(SilkRoad, SeaRoute).
HasPart(SilkRoad, SeaRoutes).
HasPart(SilkRoad, Seerouten).
HasPart(SilkRoad, Seide).
HasPart(SilkRoad, Silk).
HasPart(SilkRoad, SouthAsia).
HasPart(SilkRoad, SouthernRoute).
HasPart(SilkRoad, Spices).
HasPart(SilkRoad, Technologien).
HasPart(SilkRoad, Technology).
HasPart(SilkRoad, Textiles).
HasPart(SilkRoad, Xian).
HasPart(SilkRoad, Zentralasien).
HasPart(SocialInequality, EstatesSystem).
HasPart(Society, FarmersWorkers).
HasPart(Society, Pharaoh).
HasPart(Society, PriestsNobles).
HasPart(Society, Scribes).
HasPart(Society, Slaves).
HasPart(Stars, FusionInCoresShells).
HasPart(Stars, Iron).
HasPart(Stars, StellarWinds).
HasPart(Stars, Supernovae).
HasPart(StellarNucleosynthesis, AdvancedBurning).
HasPart(StellarNucleosynthesis, AdvancedBurningPhases).
HasPart(StellarNucleosynthesis, AdvancedFusion).
HasPart(StellarNucleosynthesis, AlphaProcess).
HasPart(StellarNucleosynthesis, CarbonBurning).
HasPart(StellarNucleosynthesis, CosmicRecycling).
HasPart(StellarNucleosynthesis, HeliumBurning).
HasPart(StellarNucleosynthesis, HeliumFusion).
HasPart(StellarNucleosynthesis, HydrogenBurning).
HasPart(StellarNucleosynthesis, HydrogenFusion).
HasPart(StellarNucleosynthesis, IronLimit).
