HasProperty(AcademicPursuitIt, PracticalApplicationsIn).
HasProperty(ImmanuelKant, RevolutionizedModernPhilosophy).
HasProperty(ImmanuelKant, TranscendentalIdealism).
HasProperty(Influence, FoundationalIdeasOnAutonomyAndHumanDignity).
HasProperty(IntoC, Sis).
HasProperty(Iron, HighestBindingEnergyPerNucleon).
HasProperty(JustinianI, BuiltHagiaSophia).
HasProperty(JustinianI, CodifiedRomanLaw).
HasProperty(JustinianI, CorpusJurisCivilis).
HasProperty(JustinianI, ExpandedEmpire).
HasProperty(JustinianI, HagiaSophia).
HasProperty(KantAesthetics, SubjectiveJudgments).
HasProperty(KantAesthetics, UniversallyValid).
HasProperty(KantEpistemology, DistinguishAPrioriAndAPosteriori).
HasProperty(KantEpistemology, SynthesizeEmpiricism).
HasProperty(KantEpistemology, SynthesizeRationalism).
HasProperty(KantEpistemology, SynthesizeRationalismAndEmpiricism).
HasProperty(KantEthics, DeontologicalEthics).
HasProperty(KantIdeas, InfluenceOnLaterThinkers).
HasProperty(KantLegacy, EmphasisOnAutonomy).
HasProperty(KantLegacy, EmphasisOnReason).
HasProperty(KantMetaphysics, HumansKnowPhenomena).
HasProperty(KantMetaphysics, RejectTraditionalMetaphysics).
HasProperty(KantPhilosophy, CopernicanRevolution).
HasProperty(KantPhilosophy, DistinguishAnalyticSyntheticJudgments).
HasProperty(KantPhilosophy, EmphasizesAutonomy).
HasProperty(KantPhilosophy, EmphasizesLimitsAndPowerOfHumanReason).
HasProperty(KantPhilosophy, EmphasizesReason).
HasProperty(KantPhilosophy, InterplayBetweenFreedomAndNaturalDeterminism).
HasProperty(KantPhilosophy, LimitsOfHumanKnowledge).
HasProperty(KantPhilosophy, PrimacyOfMoralDuty).
HasProperty(KantTeleology, NaturePurposiveness).
HasProperty(KeynesianEconomics, AddressesUnemployment).
HasProperty(KeynesianEconomics, CritiqueOfSaysLaw).
HasProperty(KeynesianEconomics, CrowdingOut).
HasProperty(KeynesianEconomics, DeficitGrowthRisk).
HasProperty(KeynesianEconomics, DemandDriven).
HasProperty(KeynesianEconomics, ExcessiveDebt).
HasProperty(KeynesianEconomics, FiscalPolicy).
HasProperty(KeynesianEconomics, GovernmentIntervention).
HasProperty(KeynesianEconomics, Inflation).
HasProperty(KeynesianEconomics, InflationRisk).
HasProperty(KeynesianEconomics, Influence).
HasProperty(KeynesianEconomics, InfluenceModernStimulusPackages).
HasProperty(KeynesianEconomics, InfluenceNewDealPrograms).
HasProperty(KeynesianEconomics, InfluenceOnPolicy).
HasProperty(KeynesianEconomics, InfluencePostWWII).
HasProperty(KeynesianEconomics, InfluencedPostWWIIEconomicPolicies).
HasProperty(KeynesianEconomics, Influential).
HasProperty(KeynesianEconomics, MultiplierEffect).
HasProperty(KeynesianEconomics, RelevantInDebates).
HasProperty(KeynesianEconomics, RelevantInFiscalStimulusDebates).
HasProperty(KeynesianEconomics, RelevantInModernDebates).
HasProperty(KeynesianEconomics, ShortTermFocus).
HasProperty(KeynesianEconomics, StickyPrices).
HasProperty(KeynesianEconomics, StickyWages).
HasProperty(KeynesianIdeas, InfluencedPostWWIIEconomicPolicies).
HasProperty(KeynesianIdeas, RelevantInDebates).
HasProperty(KingLouisXVI, CalledEstatesGeneral).
HasProperty(KrebsCycle, Aerobic).
HasProperty(KrebsCycle, AerobicRespiration).
HasProperty(KrebsCycle, EnzymaticSteps).
HasProperty(KrebsCycle, Regulation).
HasProperty(LiquidityPreference, HoldingCash).
HasProperty(Lithosphere, OuterLayer).
HasProperty(Lithosphere, Rigid).
HasProperty(Lithosphere, RigidOuterLayer).
HasProperty(MachineLearning, ComputationalMethods).
HasProperty(MachineLearning, IterativeImprovement).
HasProperty(MachineLearning, ReliesOnComputationalPower).
HasProperty(MachineLearning, ReliesOnMathematics).
HasProperty(MachineLearning, RequiresCarefulTuning).
HasProperty(MachineLearning, RequiresComputationalPower).
HasProperty(MachineLearning, RequiresLargeDatasets).
HasProperty(MachineLearning, StatisticalMethods).
HasProperty(MagneticStriping, Evidence).
HasProperty(MainSequenceStars, FuseHydrogen).
HasProperty(MainSequenceStars, HydrogenFusion).
HasProperty(MassiveStars, AdvancedFusion).
HasProperty(MassiveStars, FuseHeavierElements).
HasProperty(MilanCathedral, SixHundredYears).
HasProperty(MilanCathedral, TookCenturiesToComplete).
HasProperty(ModelEvaluation, CrossValidation).
HasProperty(ModelEvaluation, PerformanceMetrics).
HasProperty(Monetarists, ChallengeKeynesianDominance).
HasProperty(MoralActions, RationalAutonomy).
HasProperty(MoralWorth, ActingOutOfDuty).
HasProperty(MovementsHaveEmp, IzedDifferentAspects).
HasProperty(MultiplierEffect, StimulateEconomicActivity).
HasProperty(NapoleonicWars, ReshapingEurope).
HasProperty(NaturePurposiveness, SuggestsDesign).
HasProperty(Networks, Efficiency).
HasProperty(Networks, MultipleRegionSpan).
HasProperty(NeuralNetworks, ComplexSystems).
HasProperty(NeuralNetworks, Development).
HasProperty(NeuralNetworks, Efficiency).
HasProperty(NeuralNetworks, EfficientInformationHandling).
HasProperty(NeuralNetworks, FormAndPruneConnections).
HasProperty(NeuralNetworks, HighlyAdaptable).
HasProperty(NeuralNetworks, Interconnected).
HasProperty(NeuralNetworks, Neurogenesis).
HasProperty(NeuralNetworks, Optimization).
HasProperty(NeuralNetworks, ParallelOperation).
HasProperty(NeuralNetworks, ParallelProcessing).
HasProperty(NeuralNetworks, Plasticity).
HasProperty(NeuralNetworks, RapidInformationHandling).
HasProperty(Neurons, ConnectingThousands).
HasProperty(Neurons, SignalTransmission).
HasProperty(Neurotransmitters, ModulateSignalTransmission).
HasProperty(Nile, AnnualFloods).
HasProperty(NoDirectDetection, Confirmed).
HasProperty(OfLinguisticsLinguistics, WiderangingApplicationsIncluding).
HasProperty(Opponents, ArgueCrowdingOut).
HasProperty(Opponents, ArgueExcessiveDebt).
HasProperty(Opponents, ArgueInflation).
HasProperty(OrnateFacades, Carvings).
HasProperty(OrnateFacades, ElaborateSculptures).
HasProperty(Outcomes, AbolitionFeudalism).
HasProperty(Outcomes, AbolitionMonarchy).
HasProperty(Outcomes, AbolitionOfFeudalism).
HasProperty(Outcomes, EndOfMonarchy).
HasProperty(Outcomes, GlobalImpact).
HasProperty(Outcomes, InspiredLaterRevolutions).
HasProperty(Outcomes, LegalReforms).
HasProperty(Outcomes, SecularReforms).
HasProperty(Outcomes, Secularization).
HasProperty(Outcomes, SpreadRevolutionaryIdeals).
HasProperty(Pangaea, Formed300MillionYearsAgo).
HasProperty(People, LiquidityPreference).
HasProperty(Philosopher, Rational).
HasProperty(Plasticity, Learning).
HasProperty(Plasticity, Recovery).
HasProperty(PlateMovement, 1To10CmPerYear).
HasProperty(PlateMovement, 1–10CmPerYear).
HasProperty(PlateMovement, MillionsOfYears).
HasProperty(PlateMovement, Shift1To10CmPerYear).
HasProperty(PlateMovement, SlowMovement).
HasProperty(PlateMovements, Shift1To10CmPerYear).
HasProperty(PlateTectonics, ContinentalDrift).
HasProperty(PlateTectonics, FitOfContinents).
HasProperty(PlateTectonics, FossilMatches).
HasProperty(PlateTectonics, FossilRecords).
HasProperty(PlateTectonics, GPSMeasurements).
HasProperty(PlateTectonics, InfluencesClimate).
HasProperty(PlateTectonics, InfluencesGeology).
HasProperty(PlateTectonics, InfluencesLife).
HasProperty(PlateTectonics, MagneticStriping).
HasProperty(PlateTectonics, MatchingFossil).
HasProperty(PlateTectonics, MatchingFossilFormations).
HasProperty(PlateTectonics, MatchingFossilRecords).
HasProperty(PlateTectonics, MatchingRockFormations).
HasProperty(PlateTectonics, Pangaea).
HasProperty(PlateTectonics, RockFormations).
HasProperty(PlateTectonics, SeafloorSpreading).
HasProperty(PlateTectonics, SeismicActivityPatterns).
HasProperty(PlateTectonics, SupportedByContinentalDrift).
HasProperty(PlateTectonics, SupportedByFossilRecords).
HasProperty(PlateTectonics, SupportedByRockFormations).
HasProperty(PlateTectonics, SupportedBySeafloorSpreading).
HasProperty(PlateTectonics, SupportedBySeismicActivity).
HasProperty(PlateTectonics, SupportedBySeismicActivityPatterns).
HasProperty(PlateTectonics, SupportedByVolcanicActivity).
HasProperty(PlateTectonics, YoungerCrustNearRidges).
HasProperty(Plates, BreakApart).
HasProperty(Plates, BreakApartSupercontinents).
HasProperty(Plates, FloatOnAsthenosphere).
HasProperty(Plates, FloatsOnAsthenosphere).
HasProperty(Plates, FormSupercontinents).
HasProperty(Plates, FormsSupercontinents).
HasProperty(Plates, Shift1To10CmPerYear).
HasProperty(PointedArches, EfficientWeightDistribution).
HasProperty(PointedArches, MoreStableStructures).
HasProperty(PointedArches, StableStructures).
HasProperty(PointedArches, TallerStructures).
HasProperty(PoorHarvests, FuelPublicAnger).
HasProperty(PoorHarvests, FueledPublicAnger).
HasProperty(Prices, Sticky).
HasProperty(QuantumEntanglement, Decoherence).
HasProperty(QuantumEntanglement, Fragile).
HasProperty(QuantumEntanglement, Fragility).
HasProperty(QuantumEntanglement, InstantaneousCorrelation).
HasProperty(QuantumEntanglement, InstantaneousEffect).
HasProperty(QuantumEntanglement, KeineSchnellerAlsLichtKommunikation).
HasProperty(QuantumEntanglement, MeasurementDependence).
HasProperty(QuantumEntanglement, MessungAbhaengigkeit).
HasProperty(QuantumEntanglement, NoClassicalAnalog).
HasProperty(QuantumEntanglement, NoCloningTheorem).
HasProperty(QuantumEntanglement, NoFasterThanLightCommunication).
HasProperty(QuantumEntanglement, NonLocality).
HasProperty(QuantumEntanglement, NonLokalitaet).
HasProperty(QuantumEntanglement, Polarization).
HasProperty(QuantumEntanglement, QuantumSuperposition).
HasProperty(QuantumEntanglement, Spin).
HasProperty(QuantumEntanglement, SpookyAction).
HasProperty(RedGiants, FuseHelium).
HasProperty(RedGiants, HeliumFusion).
HasProperty(ReignOfTerror, RadicalJacobins).
HasProperty(ReignOfTerror, SuppressOpposition).
HasProperty(ReignTerror, ExecutedThousands).
HasProperty(ReignTerror, ExecutedThousandsSuppressOpposition).
HasProperty(ReignTerror, RadicalJacobinsLedRobespierre).
HasProperty(ReignTerror, SuppressOpposition).
HasProperty(ReinforcementLearning, EnvironmentInteraction).
HasProperty(ReinforcementLearning, LearnsByInteractingWithEnvironment).
HasProperty(ReinforcementLearning, RewardsPenalties).
HasProperty(RibbedVaults, GreaterHeight).
HasProperty(RibbedVaults, IntersectingStoneRibs).
HasProperty(RibbedVaults, LargerInteriors).
HasProperty(RibbedVaults, LargerRoofs).
HasProperty(RibbedVaults, LighterRoofs).
HasProperty(RibbedVaults, OpenSpaces).
HasProperty(RiseNapoleon, NapoleonCoupDictatorship).
HasProperty(RiseOfNapoleon, EstablishmentOfDictatorship).
HasProperty(Romanesque, SmallWindows).
HasProperty(Romanesque, ThickWalls).
HasProperty(SartreEmp, IzeRadicalFreedom).
HasProperty(SartreEmp, IzesRadicalFreedom).
HasProperty(SeafloorSpreading, Evidence).
HasProperty(SeafloorSpreading, MagneticStriping).
HasProperty(SeafloorSpreading, YoungerRocks).
HasProperty(SeafloorSpreading, YoungerRocksNearRidges).
HasProperty(SecularReforms, SeizureOfChurchLands).
HasProperty(Secularization, SeizedChurchLandsSeparatedReligionState).
HasProperty(ShortTermFocus, AddressShortTermFluctuations).
HasProperty(Silk, ChinaMostValuableExport).
HasProperty(SilkRoad, CulturalExchange).
HasProperty(SilkRoad, HandelErleichtern).
HasProperty(SilkRoad, HandelVonGewuerzen).
HasProperty(SilkRoad, HandelVonGlaswaren).
HasProperty(SilkRoad, HandelVonGold).
HasProperty(SilkRoad, HandelVonPapier).
HasProperty(SilkRoad, HandelVonPferden).
HasProperty(SilkRoad, HandelVonPorzellan).
HasProperty(SilkRoad, HandelVonSeide).
HasProperty(SilkRoad, HandelVonWolle).
HasProperty(SilkRoad, NamedByFerdinandVonRichthofen).
HasProperty(SocialInequality, RigidClassSystem).
HasProperty(SocialismThisEmp, IzesIndividualFreedom).
HasProperty(Socrates, AncientGreek).
HasProperty(Socrates, Mortal).
HasProperty(Socrates, TeacherOfPlato).
HasProperty(Socrates, Wise).
HasProperty(StainedGlass, BiblicalScenes).
HasProperty(StainedGlass, ColoredLight).
HasProperty(StainedGlass, MassiveWindows).
HasProperty(StellarContribution, SynthetisierenElemente).
HasProperty(StickyWagesAndPrices, SlowAdjustment).
HasProperty(StormingOfTheBastille, AttackOnRoyalTyranny).
HasProperty(SupernovaNucleosynthesis, ErzeugungVonElementenSchwererAlsIron).
HasProperty(SupernovaNucleosynthesis, ProduzierenSchwererElemente).
HasProperty(SupervisedLearning, LabeledData).
HasProperty(SupervisedLearning, LearnsFromLabeledData).
HasProperty(SupplySideEconomists, ChallengeKeynesianDominance).
HasProperty(Synapses, ChangeStrength).
HasProperty(Synapses, Plasticity).
HasProperty(Synapses, SynapticPlasticity).
HasProperty(Synapses, TransmitSignals).
HasProperty(SynapticPlasticity, EnablesLearning).
HasProperty(SynapticPlasticity, EnablesMemory).
HasProperty(SyntheticAPriori, Informative).
HasProperty(SyntheticAPriori, UniversalNecessary).
HasProperty(SyntheticAPrioriKnowledge, Informative).
HasProperty(SyntheticAPrioriKnowledge, UniversalNecessary).
HasProperty(TectonicPlates, FloatOnAsthenosphere).
HasProperty(TectonicPlates, FloatsOnAsthenosphere).
HasProperty(TectonicPlates, Move1To10CmPerYear).
HasProperty(TennisCourtOath, VowToDraftConstitution).
HasProperty(Testingp, E1Small).
HasProperty(ThirdEstate, HeavyTaxes).
HasProperty(This, SignificantImplicationsFor).
HasProperty(Training, AdjustParameters).
HasProperty(Training, AdjustingModelParameters).
HasProperty(Training, GradientDescent).
HasProperty(Training, MinimizeErrors).
HasProperty(TranscendentalIdealism, Concepts).
HasProperty(TranscendentalIdealism, InnateCategories).
HasProperty(TranscendentalIdealism, NoumenaUnknowable).
HasProperty(TranscendentalIdealism, PerceivePhenomena).
HasProperty(TranscendentalIdealism, PerceiveRealityThroughMentalFrameworks).
HasProperty(TranscendentalIdealism, SpaceAndTimeAreSubjective).
HasProperty(Transform, PlatesSlidePast).
HasProperty(Transform, SanAndreasFault).
HasProperty(Trials3P, Esp).
HasProperty(TwoStrands, Antiparallel).
HasProperty(UnsupervisedLearning, FindsPatternsInUnlabeledData).
HasProperty(UnsupervisedLearning, UnlabeledData).
HasProperty(Verticality, HeavenlyAspiration).
HasProperty(Verticality, LoftyNaves).
HasProperty(Verticality, SoaringSpire).
HasProperty(Wages, Sticky).
HasProperty(WagesAndPrices, Sticky).
HasProperty(Women, DivorceRights).
HasProperty(Women, LegalRights).
HasProperty(Women, PropertyOwnership).
HasProperty(Women, PropertyRights).
HasProperty(ZweiStränge, Antiparallel).
HasProperty(experimentalRealizationEntanglement, DemonstratedIn).
HasProperty(historicalContextCryptography, EvolvedFromAncient).
HasProperty(securityCryptographic, HingAndConsensus).
