IsTypeOf(Adenine, NitrogenousBases).
IsTypeOf(MidAtlanticRidge, DivergentBoundaries).
IsTypeOf(MidAtlanticRidge, DivergentBoundary).
IsTypeOf(MidOceanRidges, DivergentBoundary).
IsTypeOf(ModernPhilosophy, Epistemology).
IsTypeOf(ModernPhilosophy, Ethics).
IsTypeOf(ModernPhilosophy, Metaphysics).
IsTypeOf(Monetarists, Opponents).
IsTypeOf(MongolEmpire, Empire).
IsTypeOf(NapoleonicWars, MilitaryConflict).
IsTypeOf(NationalAssembly, Assembly).
IsTypeOf(NeoGothic, GothicStyleRevival).
IsTypeOf(Neurotransmitters, Chemicals).
IsTypeOf(NeutronStarMergers, RProcessSite).
IsTypeOf(NewKeynesianism, ModernAdaptations).
IsTypeOf(NitrogenousBase, Adenine).
IsTypeOf(NitrogenousBase, Cytosine).
IsTypeOf(NitrogenousBase, Guanine).
IsTypeOf(NitrogenousBase, Thymine).
IsTypeOf(NitrogenousBases, Adenine).
IsTypeOf(NitrogenousBases, Cytosine).
IsTypeOf(NitrogenousBases, Guanine).
IsTypeOf(NitrogenousBases, Thymine).
IsTypeOf(NorthAmericanPlate, MajorPlate).
IsTypeOf(NorthAmericanPlate, MajorPlates).
IsTypeOf(NotreDameDeParis, GothicCathedrals).
IsTypeOf(NotreDameParis, GothicCathedrals).
IsTypeOf(Osiris, God).
IsTypeOf(Osiris, Gods).
IsTypeOf(Osiris, Polytheistic).
IsTypeOf(PacificPlate, MajorPlate).
IsTypeOf(PacificPlate, MajorPlates).
IsTypeOf(Pangaea, Supercontinent).
IsTypeOf(Pharaoh, HierarchicalSociety).
IsTypeOf(Pharaohs, DivineKings).
IsTypeOf(Pharaohs, GodKings).
IsTypeOf(PharaonicMonarchy, Government).
IsTypeOf(PlateBoundaries, Convergent).
IsTypeOf(PlateBoundaries, Divergent).
IsTypeOf(PlateBoundaries, Transform).
IsTypeOf(PlateMovement, Convergent).
IsTypeOf(PlateMovement, Divergent).
IsTypeOf(PlateMovement, SlowMovement).
IsTypeOf(PlateMovement, Transform).
IsTypeOf(PointedArches, RomanesqueRoundedArches).
IsTypeOf(Priests, HierarchicalSociety).
IsTypeOf(Pyramids, Tombs).
IsTypeOf(QuantumCryptography, QuantumKeyDistribution).
IsTypeOf(QuantumEntanglement, CornerstoneOfQuantumMechanics).
IsTypeOf(QuantumEntanglement, QuantumMechanics).
IsTypeOf(QuantumEntanglement, QuantumPhysics).
IsTypeOf(Ra, God).
IsTypeOf(Ra, Gods).
IsTypeOf(Ra, Polytheistic).
IsTypeOf(RamsesII, Pharaoh).
IsTypeOf(RamsesII, Pharaohs).
IsTypeOf(RedGiants, HeliumBurningSite).
IsTypeOf(ReignOfTerror, PoliticalPeriod).
IsTypeOf(ReignOfTerror, RadicalJacobins).
IsTypeOf(ReinforcementLearning, MachineLearning).
IsTypeOf(RiseOfNapoleon, PoliticalEvent).
IsTypeOf(SanAndreasFault, TransformBoundaries).
IsTypeOf(SanAndreasFault, TransformBoundary).
IsTypeOf(Scribes, HierarchicalSociety).
IsTypeOf(SecularReforms, PoliticalOutcome).
IsTypeOf(SilkRoad, NetzwerkVonHandelsrouten).
IsTypeOf(SilkRoad, TradeRoute).
IsTypeOf(Slaves, HierarchicalSociety).
IsTypeOf(SouthAmerica, FitOfContinents).
IsTypeOf(Sphinx, Monument).
IsTypeOf(Sphinx, Monuments).
IsTypeOf(StellarNucleosynthesis, CosmicElementDistribution).
IsTypeOf(StimulusPackages, EconomicPolicy).
IsTypeOf(StormingOfTheBastille, PoliticalEvent).
IsTypeOf(Strands, AntiparallelStrands).
IsTypeOf(Sugar, Deoxyribose).
IsTypeOf(SupercontinentCycle, PeriodicAssembly).
IsTypeOf(Supernovae, ExplosiveNucleosynthesisSite).
IsTypeOf(SupervisedLearning, MachineLearning).
IsTypeOf(SupplySideEconomists, Opponents).
IsTypeOf(TennisCourtOath, PoliticalEvent).
IsTypeOf(Thymine, NitrogenousBases).
IsTypeOf(Transform, PlateBoundaries).
IsTypeOf(Transform, PlateBoundary).
IsTypeOf(TransformBoundaries, PlateBoundaries).
IsTypeOf(TransformBoundary, PlateBoundaries).
IsTypeOf(TransformBoundary, PlateBoundary).
IsTypeOf(Tutankhamun, Pharaohs).
IsTypeOf(UnsupervisedLearning, MachineLearning).
IsTypeOf(ValleyOfTheKings, Tombs).
IsTypeOf(Verticality, GothicStyle).
IsTypeOf(WestminsterAbbey, GothicCathedrals).
IsTypeOf(ZhangQian, Person).
