Causes(A, PairsWithT).
Causes(EnlightenmentIdeas, FrenchRevolution).
Causes(EnrichInterstellarGas, FormNewStarsAndPlanets).
Causes(ExcessiveIntervention, Inefficiency).
Causes(ExcessiveIntervention, Inflation).
Causes(ExcessiveIntervention, LongTermDebt).
Causes(ExcessiveSpending, FinancialCrisis).
Causes(ExecutionOfLouisXVI, Guillotine).
Causes(Experiments, ConfirmEntanglement).
Causes(ExtravagantSpending, FinancialCrisis).
Causes(FallOfConstantinople, EndOfByzantineEmpire).
Causes(FearingRevolutionSpread, WarWithAustriaPrussia).
Causes(FinancialCrisis, Bankruptcy).
Causes(FinancialCrisis, CostlyWars).
Causes(FinancialCrisis, ExtravagantSpending).
Causes(FinancialCrisis, FrenchRevolution).
Causes(FinancialCrisis, RoyalSpending).
Causes(FlyingButtresses, LargerWindows).
Causes(FoodShortages, FrenchRevolution).
Causes(FoodShortages, PublicAnger).
Causes(ForeignPowers, Decline).
Causes(FourthCrusade, Decline).
Causes(FourthCrusade, DeclineByzantineEmpire).
Causes(FourthCrusade, SackConstantinople).
Causes(FourthCrusade, WeakenByzantineEmpire).
Causes(FourthCrusade, Weakened).
Causes(FourthCrusade, WeakenedByzantineEmpire).
Causes(FrenchRevolution, AbolishFeudalism).
Causes(FrenchRevolution, AbolishedFeudalism).
Causes(FrenchRevolution, AbolitionOfFeudalism).
Causes(FrenchRevolution, ChaosViolence).
Causes(FrenchRevolution, EndAbsoluteMonarchy).
Causes(FrenchRevolution, EndMonarchy).
Causes(FrenchRevolution, EndOfFeudalism).
Causes(FrenchRevolution, EndOfMonarchy).
Causes(FrenchRevolution, EstablishSecularGovernance).
Causes(FrenchRevolution, EstablishedSecularGovernance).
Causes(FrenchRevolution, FeudalismAbolished).
Causes(FrenchRevolution, FoundationForModernRepublics).
Causes(FrenchRevolution, GlobalImpact).
Causes(FrenchRevolution, HumanRightsMovements).
Causes(FrenchRevolution, InspiredRevolutionsWorldwide).
Causes(FrenchRevolution, LedToModernConcepts).
Causes(FrenchRevolution, ModernPoliticalConcepts).
Causes(FrenchRevolution, NapoleonicEra).
Causes(FrenchRevolution, NapoleonicWars).
Causes(FrenchRevolution, NapoleonsRiseToPower).
Causes(FrenchRevolution, ReshapedEuropeanPolitics).
Causes(FrenchRevolution, ReshapedFrance).
Causes(FrenchRevolution, RiseOfNapoleon).
Causes(FrenchRevolution, RiseOfNationalism).
Causes(FrenchRevolution, RiseOfSecularism).
Causes(FrenchRevolution, RiseSecularism).
Causes(FrenchRevolution, SecularReforms).
Causes(FrenchRevolution, Secularization).
Causes(FrenchRevolution, SpreadDemocraticIdeals).
Causes(FrenchRevolution, SpreadOfRevolutionaryIdeals).
Causes(FrenchRevolution, SpreadRevolutionaryIdeals).
Causes(FrenchRevolution, TransformationToRepublic).
Causes(FrenchRevolution, TransformedFrance).
Causes(FrenchRevolution, ViolenceInstability).
Causes(FurtherSpending, AmplifyingEconomicGrowth).
Causes(FusionBeyondIron, ConsumeEnergy).
Causes(Glucose, ATP).
Causes(Glucose, Co2).
Causes(Glucose, Fadh2).
Causes(Glucose, NADH).
Causes(GothicCathedrals, EngineeringAdvancements).
Causes(GothicCathedrals, EngineeringTechniques).
Causes(GothicCathedrals, EngineeringTechniquesInfluence).
Causes(GothicCathedrals, LaterArchitecturalStylesInfluence).
Causes(GothicCathedrals, LaterArchitectureInfluence).
Causes(GothicCathedrals, RenaissanceDesigns).
Causes(GothicCathedrals, StructuralAdvances).
Causes(GovernmentIntervention, Deficits).
Causes(GovernmentSpending, BoostDemand).
Causes(GovernmentSpending, IncreasedEmployment).
Causes(GovernmentSpending, IncreasedIncome).
Causes(GovernmentSpending, MagnifiedImpact).
Causes(GovernmentSpending, MultiplierEffect).
Causes(GreatSchism, EasternOrthodox).
Causes(GreatSchism, Split).
Causes(GreatSchism, SplitFromRomanCatholicChurch).
Causes(Greece, Decline).
Causes(HeavyTaxes, SocialInequality).
Causes(HeliumBurning, Carbon).
Causes(HeliumBurning, Oxygen).
Causes(HeliumFusion, Carbon).
Causes(HeliumFusion, CarbonOxygenProduction).
Causes(HeliumFusion, Oxygen).
Causes(HighBreadPrices, PublicAnger).
Causes(HydrogenBonds, BasePairing).
Causes(HydrogenBurning, Helium).
Causes(HydrogenFusion, EnergyRelease).
Causes(HydrogenFusion, Helium).
Causes(HydrogenFusion, ReleaseEnergy).
Causes(ImmanuelKant, ContemporaryEpistemology).
Causes(ImmanuelKant, ContemporaryEthics).
Causes(ImmanuelKant, GermanIdealism).
Causes(ImmanuelKant, GroundworkForEpistemology).
Causes(ImmanuelKant, GroundworkForMetaphysics).
Causes(ImmanuelKant, GroundworkForModernEthics).
Causes(ImmanuelKant, InfluenceOnLaterPhilosophers).
Causes(ImmanuelKant, InfluenceOnModernDisciplines).
Causes(ImmanuelKant, InfluenceOnModernPhilosophy).
Causes(ImmanuelKant, InfluencedHegel).
Causes(ImmanuelKant, InfluencedModernPhilosophy).
Causes(ImmanuelKant, InfluencedSchopenhauer).
Causes(ImmanuelKant, InfluencingEthics).
Causes(ImmanuelKant, ReconcileEmpiricismWithRationalism).
Causes(ImmanuelKant, ShapedModernPhilosophy).
Causes(ImmanuelKant, ShapingLaterThinkers).
Causes(ImmanuelKantIdeas, LaterPhilosophyInfluence).
Causes(IncreasedIncome, FurtherSpending).
Causes(Influence, ShapedEpistemology).
Causes(Influence, ShapedGermanIdealism).
Causes(Influence, ShapedLaterPhilosophy).
Causes(Influence, ShapedModernEthics).
Causes(Iron, FusionStops).
Causes(IronFusion, CoreCollapse).
Causes(IronLimit, CoreCollapse).
Causes(JustinianI, BuiltHagiaSophia).
Causes(JustinianI, Codification).
Causes(JustinianI, CodifiedRomanLaw).
Causes(JustinianI, CorpusJurisCivilis).
Causes(JustinianI, ExpandedEmpire).
Causes(JustinianI, Expansion).
Causes(JustinianI, HagiaSophia).
Causes(JustinianI, ReconqueredWesternRomanEmpire).
Causes(Kant, RejectionOfTraditionalMetaphysics).
Causes(KantIdeas, AnalyticPhilosophy).
Causes(KantIdeas, ContinentalPhilosophy).
Causes(KantIdeas, Epistemology).
Causes(KantIdeas, GermanIdealism).
Causes(KantIdeas, InfluenceOnLaterThinkers).
Causes(KantIdeas, ModernEthics).
Causes(KantIdeas, ShapeExistentialism).
Causes(KantIdeas, ShapeGermanIdealism).
Causes(KantIdeas, ShapeModernEthics).
Causes(KantPhilosophy, ContemporaryEpistemology).
Causes(KantPhilosophy, ContemporaryEthics).
Causes(KantPhilosophy, Existentialism).
Causes(KantPhilosophy, GermanIdealism).
Causes(KantPhilosophy, LastingImpactOnWesternThought).
Causes(KantPhilosophy, ModernPhilosophy).
Causes(KeynesianEconomics, CrowdOutPrivateInvestment).
Causes(KeynesianEconomics, CrowdingOut).
Causes(KeynesianEconomics, CrowdingOutPrivateInvestment).
Causes(KeynesianEconomics, CyclicalUnemployment).
Causes(KeynesianEconomics, Deficits).
Causes(KeynesianEconomics, EconomicDownturns).
Causes(KeynesianEconomics, ExcessiveDebt).
Causes(KeynesianEconomics, Inflation).
Causes(KeynesianPolicies, CrowdOutPrivateInvestment).
Causes(KeynesianPolicies, ExcessiveDebt).
Causes(KeynesianPolicies, Inflation).
Causes(KontrolleVonOsmanischesReich, NiedergangVonSilkRoad).
Causes(KrebsCycle, 1Fadh2).
Causes(KrebsCycle, 1GTP).
Causes(KrebsCycle, 2ATP).
Causes(KrebsCycle, 2Co2).
Causes(KrebsCycle, 2Fadh2).
Causes(KrebsCycle, 3NADH).
Causes(KrebsCycle, 4Co2).
Causes(KrebsCycle, 6NADH).
Causes(KrebsCycle, ATP).
Causes(KrebsCycle, ATPRelease).
Causes(KrebsCycle, CO₂).
Causes(KrebsCycle, CellularEnergyProduction).
Causes(KrebsCycle, Co2).
Causes(KrebsCycle, Co2Release).
Causes(KrebsCycle, ConnectionToOtherPathways).
Causes(KrebsCycle, EnergyGeneration).
Causes(KrebsCycle, EnergyProduction).
Causes(KrebsCycle, EnergyYield).
Causes(KrebsCycle, FADH₂).
Causes(KrebsCycle, Fadh2).
Causes(KrebsCycle, Fadh2Release).
Causes(KrebsCycle, GTP).
Causes(KrebsCycle, NADH).
Causes(KrebsCycle, NADHRelease).
Causes(KrebsCycle, OxidativePhosphorylation).
Causes(KrebsCycle, Regulation).
Causes(Learning, SynapticPlasticity).
Causes(Learning, SynapticStrengthChange).
Causes(LiquidityPreference, ReduceInvestment).
Causes(LiquidityPreference, ReducedConsumption).
Causes(LiquidityPreference, ReducedInvestment).
Causes(LiquidityPreference, WorsenDownturns).
Causes(LowerInterestRates, EncourageSpending).
Causes(MachineLearning, BiasVarianceTradeOff).
Causes(MachineLearning, CarefulTuning).
Causes(MachineLearning, ComputationalPower).
Causes(MachineLearning, ComputationalResources).
Causes(MachineLearning, DataQuality).
Causes(MachineLearning, DataQuantity).
Causes(MachineLearning, Interpretability).
Causes(MachineLearning, InterpretabilityIssues).
Causes(MachineLearning, LargeCleanDatasets).
Causes(MachineLearning, LargeDatasets).
Causes(MachineLearning, RiskOfBias).
Causes(MagnifiedImpact, Employment).
Causes(MagnifiedImpact, Income).
Causes(MainSequenceStars, FuseHydrogenIntoHelium).
Causes(MantleConvection, DriveMovement).
Causes(MantleConvection, PlateMovement).
Causes(MantleConvectionCurrents, PlateMovement).
Causes(MaritimeTrade, DeclineOfSilkRoad).
Causes(MaritimeTrade, DeclineSilkRoad).
Causes(MassiveStars, FuseCarbonIntoNeonOxygenSiliconAndIron).
Causes(MassiveStars, FuseHeavierElements).
Causes(MassiveStars, ProduceNeonMagnesiumSiliconAndIron).
Causes(MassiveStars, ProduceNeonMagnesiumSiliconIron).
Causes(MehmedII, Fall).
Causes(MehmedII, FallOfConstantinople).
Causes(MidOceanRidges, CreateNewCrust).
Causes(ModelTraining, Overfitting).
Causes(ModelTraining, Underfitting).
Causes(MongolEmpire, FlourishOfSilkRoad).
Causes(MongolEmpireFragmentation, DeclineOfSilkRoad).
Causes(MongolEmpireFragmentation, DeclineSilkRoad).
Causes(MongolenreichZerfall, NiedergangDerSilkRoad).
Causes(MultiplierEffect, AmplifyingEconomicGrowth).
Causes(MultiplierEffect, FurtherConsumption).
Causes(MultiplierEffect, FurtherEconomicActivity).
Causes(MultiplierEffect, IncreasedIncome).
Causes(MultiplierEffect, StimulateEconomicActivity).
Causes(Myelination, Efficiency).
Causes(Myelination, SignalOptimization).
Causes(Myelination, SpeedingUpSignalTransmission).
Causes(NapoleonsCoup, EndedTheRevolution).
Causes(NapoleonsCoup, EstablishedTheConsulate).
Causes(NetworkDisruptions, Diseases).
Causes(Networks, Myelination).
Causes(Networks, Optimization).
Causes(Networks, Pruning).
Causes(NeuralNetworks, Behavior).
Causes(NeuralNetworks, BrainFunctions).
Causes(NeuralNetworks, Cognition).
Causes(NeuralNetworks, Consciousness).
Causes(NeuralNetworks, MyelinateAxons).
Causes(NeuralNetworks, PruneUnusedConnections).
Causes(NeuralNetworks, RapidProcessing).
Causes(NeurotransmitterDeficits, NetworkDisruptions).
Causes(Neurotransmitters, Behavior).
Causes(Neurotransmitters, Cognition).
Causes(Neurotransmitters, InfluenceBehavior).
Causes(Neurotransmitters, InfluenceCognition).
Causes(Neurotransmitters, InfluenceMood).
Causes(Neurotransmitters, Mood).
Causes(Neurotransmitters, MoodAndCognition).
Causes(Neurotransmitters, SignalTransmission).
Causes(NeutronStarMergers, FormElementsHeavierThanIron).
Causes(NileRiver, SoilEnrichment).
Causes(NuclearFusion, EnergyRelease).
Causes(OsmanischesReichBlockade, NiedergangDerSilkRoad).
Causes(OtherProcesses, ProduceElementsLikeLead).
Causes(OtherProcesses, ProducedLightElements).
Causes(OttomanEmpireBlockade, DeclineOfSilkRoad).
Causes(OttomanEmpireControl, DeclineSilkRoad).
Causes(OttomanExpansion, Decline).
Causes(OttomanExpansion, WeakenByzantineEmpire).
Causes(OttomanTurks, Decline).
Causes(OttomanTurks, Fall).
Causes(OttomanTurks, FallByzantineEmpire).
Causes(OttomanTurks, FallOfByzantineEmpire).
Causes(OttomanTurks, FallOfConstantinople).
Causes(Ottomans, LostTerritory).
Causes(Overfitting, PoorPerformance).
Causes(ParadoxOfThrift, ReduceDemand).
Causes(ParallelProcessing, EfficientComputation).
Causes(Persia, Decline).
Causes(Persia, DeclineOfAncientEgypt).
Causes(Plasticity, ConnectionReorganization).
Causes(Plasticity, Learning).
Causes(Plasticity, Memory).
Causes(Plasticity, PathwayStrengthening).
Causes(PlateBoundaries, Earthquakes).
Causes(PlateBoundaries, Landforms).
Causes(PlateBoundaries, MountainFormation).
Causes(PlateBoundaries, MountainRanges).
Causes(PlateBoundaries, Mountains).
Causes(PlateBoundaries, OceanBasinCreation).
Causes(PlateBoundaries, OceanBasinDestruction).
Causes(PlateBoundaries, OceanTrenches).
Causes(PlateBoundaries, RiftValleys).
Causes(PlateBoundaries, Trenches).
Causes(PlateBoundaries, VolcanicActivity).
Causes(PlateBoundaries, Volcanoes).
Causes(PlateInteractions, Earthquakes).
Causes(PlateInteractions, MountainBuilding).
Causes(PlateInteractions, MountainFormation).
Causes(PlateInteractions, MountainRanges).
Causes(PlateInteractions, OceanTrenchFormation).
Causes(PlateInteractions, OceanTrenches).
Causes(PlateInteractions, OceanicTrenches).
Causes(PlateInteractions, VolcanicActivity).
Causes(PlateInteractions, Volcanoes).
Causes(PlateMovement, Earthquakes).
Causes(PlateMovement, MountainBuilding).
Causes(PlateMovement, ReshapeContinentsOceans).
Causes(PlateMovement, ReshapingContinentsOceans).
Causes(PlateMovement, VolcanicActivity).
Causes(PlateMovements, Earthquakes).
Causes(PlateMovements, MountainBuilding).
Causes(PlateMovements, MountainRanges).
Causes(PlateMovements, OceanTrenches).
Causes(PlateMovements, RiftValleys).
Causes(PlateMovements, VolcanicActivity).
Causes(PlateTectonics, ClimateShaping).
Causes(PlateTectonics, ContinentalDrift).
Causes(PlateTectonics, DistributionNaturalResources).
Causes(PlateTectonics, DynamicEarthSurface).
Causes(PlateTectonics, EarthGeologicalActivity).
Causes(PlateTectonics, Earthquakes).
Causes(PlateTectonics, InfluenceClimate).
Causes(PlateTectonics, InfluenceGeography).
Causes(PlateTectonics, InfluenceLifeEvolution).
Causes(PlateTectonics, InfluenceOceanCurrents).
Causes(PlateTectonics, InfluencesClimate).
Causes(PlateTectonics, InfluencesEcosystems).
Causes(PlateTectonics, InfluencesNaturalHazards).
Causes(PlateTectonics, LandscapeShaping).
Causes(PlateTectonics, LifeShaping).
Causes(PlateTectonics, MountainFormation).
Causes(PlateTectonics, OceanicTrenchCreation).
Causes(PlateTectonics, OceanicTrenches).
Causes(PlateTectonics, SeafloorSpreading).
Causes(PlateTectonics, ShapeEarthSurface).
Causes(PlateTectonics, ShapePlanetSurface).
Causes(PlateTectonics, ShapesClimate).
Causes(PlateTectonics, ShapesEarthSurface).
Causes(PlateTectonics, ShapesLandscapes).
Causes(PlateTectonics, ShapesLifeDistribution).
Causes(PlateTectonics, SupercontinentCycle).
Causes(PlateTectonics, Volcanoes).
Causes(PlatesCollide, MountainFormation).
Causes(PlatesCollide, Subduction).
Causes(PointedArches, TallerStructures).
Causes(PoliticalFragmentation, DeclineOfSilkRoad).
Causes(PoorHarvests, FoodShortages).
Causes(PoorHarvests, FrenchRevolution).
Causes(PoorHarvests, HighBreadPrices).
Causes(PoorHarvests, PublicAnger).
Causes(ProtonProtonChain, EnergyRelease).
Causes(ProtonProtonChain, FuseHydrogenIntoHelium).
Causes(Pruning, Efficiency).
Causes(Pruning, EliminatingWeakConnections).
Causes(Pruning, SignalOptimization).
Causes(QuantumEntanglement, ComplexCalculations).
Causes(QuantumEntanglement, NoClassicalExplanation).
Causes(QuantumEntanglement, ViolationOfClassicalPhysics).
Causes(RapidNeutronCapture, FormElementsHeavierThanIron).
Causes(RedGiants, FuseHeliumIntoCarbonAndOxygen).
Causes(RedGiantsSupergiants, FuseHeliumIntoCarbonAndOxygen).
Causes(ReduceDemand, EconomicSlumps).
Causes(ReignOfTerror, SuppressOpposition).
Causes(Renaissance, DeclineOfGothicStyle).
Causes(RibbedVaults, ComplexDesigns).
Causes(RidgePush, DriveMovement).
Causes(RidgePush, PlateMovement).
Causes(RidgePush, PlateMovements).
Causes(RiseOfMaritimeTrade, DeclineOfSilkRoad).
Causes(RiseOfNapoleon, EstablishingDictatorship).
Causes(RomanAnnexation, EndOfAncientEgypt).
Causes(Romans, DeclineOfAncientEgypt).
Causes(Rome, Decline).
Causes(Rome, DeclineOfAncientEgypt).
Causes(Rome, FellAncientEgypt).
Causes(SchismOf1054, SplitBetweenEasternOrthodoxAndRomanCatholicChurches).
Causes(SeljukTurks, LostTerritory).
Causes(ShellBurningStages, FuseCarbonIntoNeon).
Causes(ShellBurningStages, FuseOxygenIntoSilicon).
Causes(ShellBurningStages, FuseSiliconIntoIron).
Causes(ShortfallsInDemand, Recessions).
Causes(ShortfallsInDemand, Unemployment).
Causes(SilkRoad, Decline).
Causes(SilkRoad, KulturellerAustausch).
Causes(SilkRoad, ShapeCultures).
Causes(SilkRoad, ShapeEconomies).
Causes(SilkRoad, ShapePoliticalTies).
Causes(SilkRoad, SpreadBlackDeath).
Causes(SilkRoad, SpreadBuddhism).
Causes(SilkRoad, SpreadChristianity).
Causes(SilkRoad, SpreadDiseases).
Causes(SilkRoad, SpreadGunpowder).
Causes(SilkRoad, SpreadIslam).
Causes(SilkRoad, SpreadOfBuddhism).
Causes(SilkRoad, SpreadOfChristianity).
Causes(SilkRoad, SpreadOfDiseases).
Causes(SilkRoad, SpreadOfGunpowder).
Causes(SilkRoad, SpreadOfIdeas).
Causes(SilkRoad, SpreadOfInnovations).
Causes(SilkRoad, SpreadOfIslam).
Causes(SilkRoad, SpreadOfPapermaking).
Causes(SilkRoad, SpreadOfReligions).
Causes(SilkRoad, SpreadPapermaking).
Causes(SilkRoad, SpreadReligions).
Causes(SilkRoad, SpreadTechnologies).
Causes(SilkRoad, TransmissionOfArt).
Causes(SilkRoad, TransmissionOfLanguages).
Causes(SilkRoad, TransmissionOfScience).
Causes(SilkRoad, VerbreitungVonIdeen).
Causes(SilkRoad, VerbreitungVonReligionen).
Causes(SilkRoad, VerbreitungVonTechnologien).
Causes(SlabPull, DriveMovement).
Causes(SlabPull, PlateMovement).
Causes(SlabPull, PlateMovements).
Causes(SlowNeutronCapture, FormElementsHeavierThanIron).
Causes(SocialInequality, FrenchRevolution).
Causes(SocialInequality, HeavyTaxes).
Causes(SoilEnrichment, SurplusCrops).
Causes(StainedGlass, InteriorLightFlooding).
Causes(Stars, DistributeSynthesizedElements).
Causes(Stars, EnrichInterstellarMedium).
Causes(StellarContribution, AnreicherungDesInterstellarenMediums).
Causes(StellarNucleosynthesis, DistributesEnrichedMaterial).
Causes(StellarNucleosynthesis, EnrichInterstellarGas).
Causes(StellarRecycling, FormNewStarsAndPlanets).
Causes(StellarWinds, EjectSynthesizedElements).
Causes(StickyPrices, PersistentUnemployment).
Causes(StickyPrices, ProlongedUnemployment).
Causes(StickyWages, PersistentUnemployment).
Causes(StickyWages, ProlongedUnemployment).
Causes(StickyWagesAndPrices, ProlongedUnemployment).
Causes(StoerungenVonMongolenreich, NiedergangVonSilkRoad).
Causes(SubductionZones, FormMountains).
Causes(SubductionZones, FormTrenches).
Causes(Supernova, CoreCollapse).
Causes(SupernovaNucleosynthesis, ElementsHeavierThanIron).
Causes(SupernovaNucleosynthesis, Gold).
Causes(SupernovaNucleosynthesis, Uranium).
Causes(Supernovae, DispersionOfHeavierElements).
Causes(Supernovae, EjectSynthesizedElements).
Causes(Supernovae, ElementsHeavierThanIron).
Causes(Supernovae, FormElementsHeavierThanIron).
Causes(SupernovaeTypeIi, CreateElementsHeavierThanIron).
Causes(SynapseLoss, Alzheimers).
Causes(Synapses, ElectricalSignals).
Causes(Synapses, NeuronCommunication).
Causes(Synapses, Neurotransmitters).
Causes(Synapses, SignalRelay).
Causes(SynapticLoss, NetworkDisruptions).
Causes(SyntheticAPrioriKnowledge, EmpiricismChallenge).
Causes(TectonicPlates, ReshapeEarthSurface).
Causes(ThermidorianReaction, EndingTheTerror).
Causes(ThermidorianReaction, RobespierreExecuted).
Causes(ThermidorianReaction, RobespierreOverthrown).
Causes(Transform, PlatesSlidePast).
Causes(TransformBoundaries, PlatesSlidePast).
Causes(TransformBoundary, PlatesSlidePast).
Causes(TripleAlphaProcess, FuseHeliumIntoCarbonAndOxygen).
Causes(Uncertainty, ReducedInvestment).
Causes(WarWithAustriaPrussia, EuropeanMonarchies).
Causes(WarWithAustriaPrussia, RevolutionaryFrance).
Causes(WarWithEurope, ForeignIntervention).
