HasPurpose(AbolitionOfFeudalism, EliminatePrivileges).
HasPurpose(CounterCyclicalPolicies, CoolInflation).
HasPurpose(CounterCyclicalPolicies, PreventInflation).
HasPurpose(CounterCyclicalPolicies, PreventOverheating).
HasPurpose(CounterCyclicalPolicies, ReduceDebt).
HasPurpose(CounterCyclicalPolicies, SmoothBusinessCycles).
HasPurpose(CounterCyclicalPolicies, StimulateEconomy).
HasPurpose(CriticalPhilosophy, ReconcileRationalismAndEmpiricism).
HasPurpose(CritiqueOfJudgment, AestheticsAndTeleology).
HasPurpose(CritiqueOfJudgment, BeautyIsSubjectiveYetUniversallyCommunicable).
HasPurpose(CritiqueOfJudgment, ExamineAesthetics).
HasPurpose(CritiqueOfJudgment, ExamineAestheticsAndTeleology).
HasPurpose(CritiqueOfJudgment, ExamineTeleology).
HasPurpose(CritiqueOfJudgment, ExploreAestheticsAndTeleology).
HasPurpose(CritiqueOfJudgment, ExploredAesthetics).
HasPurpose(CritiqueOfPracticalReason, FocusOnEthics).
HasPurpose(CritiqueOfPracticalReason, LinkingMoralityToFreedom).
HasPurpose(CritiqueOfPracticalReason, MoralPhilosophy).
HasPurpose(CritiqueOfPureReason, AnalyzeLimitsOfHumanReason).
HasPurpose(CritiqueOfPureReason, DistinguishesA PosterioriKnowledge).
HasPurpose(CritiqueOfPureReason, DistinguishesA PrioriKnowledge).
HasPurpose(CritiqueOfPureReason, Epistemology).
HasPurpose(CritiqueOfPureReason, ExamineLimitsOfReason).
HasPurpose(CritiqueOfPureReason, ExploreEpistemology).
HasPurpose(CritiqueOfPureReason, ExploreHumanKnowledge).
HasPurpose(CritiqueOfPureReason, IntroducedPhenomenaAndNoumena).
HasPurpose(DNA, CarriesGeneticInformation).
HasPurpose(DNA, CarryGeneticInformation).
HasPurpose(DNA, EncodeGeneticInstructions).
HasPurpose(DNA, GeneticInformation).
HasPurpose(DNA, ReplicateAccurately).
HasPurpose(DNA, Replication).
HasPurpose(DNA, SpeichertGenetischeInstruktionen).
HasPurpose(DNA, StoreGeneticInformation).
HasPurpose(DNA, StoresGeneticInformation).
HasPurpose(DNAStructure, StoreGeneticInformation).
HasPurpose(DNAStructure, TransmitGeneticInformation).
HasPurpose(DeclarationOfRights, EstablishedEqualityFreedoms).
HasPurpose(DeclarationOfTheRightsOfMan, EstablishPrinciples).
HasPurpose(DeclarationOfTheRightsOfMan, EstablishPrinciplesOfLibertyEqualityFraternity).
HasPurpose(DeclarationOfTheRightsOfMan, EstablishedPrinciples).
HasPurpose(DeclarationOfTheRightsOfManAndCitizen, EstablishPrinciples).
HasPurpose(DeclarationOfTheRightsOfManAndCitizen, EstablishedEquality).
HasPurpose(DeclarationOfTheRightsOfManAndCitizen, Freedoms).
HasPurpose(DeclarationRightsMan, EstablishPrinciples).
HasPurpose(DeclarationRightsMan, EstablishPrinciplesLibertyEqualityFraternity).
HasPurpose(Decline, MongolEmpireCollapse).
HasPurpose(Decline, OttomanEmpireBlockade).
HasPurpose(Decline, RiseOfSeaTrade).
HasPurpose(DefaultModeNetwork, Introspection).
HasPurpose(Dendrites, ReceiveSignals).
HasPurpose(DiplomaticMissions, OpenTrade).
HasPurpose(Directionality, DNAReplication).
HasPurpose(Directionality, Transcription).
HasPurpose(Divergent, OceanBasinsCreation).
HasPurpose(DivergentBoundary, MidOceanRidges).
HasPurpose(DivergentBoundary, RiftValleys).
HasPurpose(Dopamine, Reward).
HasPurpose(Efficiency, EnergyOptimization).
HasPurpose(EjectSynthesizedElements, EnrichInterstellarGas).
HasPurpose(ElectronTransportChain, ATPProduction).
HasPurpose(EmperorWu, AllianzenBilden).
HasPurpose(EmperorWu, SendEnvoy).
HasPurpose(EndOfFeudalism, AbolishedPrivileges).
HasPurpose(EnergyRelease, CounteractGravitationalCollapse).
HasPurpose(EnergyUse, MaintainNeuralActivity).
HasPurpose(EnlightenmentIdeas, DemandForLibertyEqualityDemocracy).
HasPurpose(EnlightenmentIdeas, Democracy).
HasPurpose(EnlightenmentIdeas, Equality).
HasPurpose(EnlightenmentIdeas, InspireDemands).
HasPurpose(EnlightenmentIdeas, InspireDemandsForLibertyEqualityDemocracy).
HasPurpose(EnlightenmentIdeas, Liberty).
HasPurpose(EnlightenmentIdeas, LibertyEqualityDemocracy).
HasPurpose(EnlightenmentIdeas, PromoteLibertyEqualityDemocracy).
HasPurpose(EnrichInterstellarGas, NewStarPlanetFormation).
HasPurpose(EnrichInterstellarMedium, FutureStarAndPlanetFormation).
HasPurpose(EstatesGeneral, AddressCrisis).
HasPurpose(EstatesGeneral, FormNationalAssembly).
HasPurpose(EstatesGeneral, Reform).
HasPurpose(EstatesGeneral, ReformDemand).
HasPurpose(EthicsFairness, EnsureTransparency).
HasPurpose(EthicsFairness, EnsureUnbiased).
HasPurpose(EthicsFairness, EquitableOutcomes).
HasPurpose(EthicsFairness, RespectPrivacy).
HasPurpose(Fadh2, ElectronTransportChain).
HasPurpose(FallOfConstantinople, EndOfEmpire).
HasPurpose(FiscalPolicies, CounteractEconomicDownturns).
HasPurpose(FiscalPolicies, CurbInflation).
HasPurpose(FiscalPolicy, CounteractRecessions).
HasPurpose(FiscalPolicy, ManageBooms).
HasPurpose(FiscalStimulus, BoostDemand).
HasPurpose(FlyingButtresses, CounterLateralForces).
HasPurpose(FlyingButtresses, ExpansiveStainedGlass).
HasPurpose(FlyingButtresses, ExpansiveStainedGlassWindows).
HasPurpose(FlyingButtresses, ExteriorSupport).
HasPurpose(FlyingButtresses, ExternalSupports).
HasPurpose(FlyingButtresses, LargeStainedGlassWindows).
HasPurpose(FlyingButtresses, LargerWindows).
HasPurpose(FlyingButtresses, ReducedWallThickness).
HasPurpose(FlyingButtresses, TallerWalls).
HasPurpose(FlyingButtresses, ThinnerWalls).
HasPurpose(FossilRecords, SupportContinentalDrift).
HasPurpose(FrenchRevolution, FoundationForModernDemocracy).
HasPurpose(FrenchRevolution, FoundationalToDemocraticMovements).
HasPurpose(FrenchRevolution, HumanRights).
HasPurpose(FrenchRevolution, InfluenceModernHistory).
HasPurpose(FrenchRevolution, LaidFoundationForModernDemocracy).
HasPurpose(FrenchRevolution, LedToViolenceAndInstability).
HasPurpose(FrenchRevolution, ModernDemocraticIdeals).
HasPurpose(FrenchRevolution, RadicalSocialPoliticalUpheaval).
HasPurpose(FrenchRevolution, ReshapePoliticalLandscape).
HasPurpose(FrenchRevolution, ReshapedFrance).
HasPurpose(FrenchRevolution, ReshapedPoliticalLandscape).
HasPurpose(FrenchRevolution, StruggleForDemocracy).
HasPurpose(FrenchRevolution, TransformFranceToDemocraticSociety).
HasPurpose(FrenchRevolution,EndOfMonarchy).
HasPurpose(FrenchRevolution,Secularization).
HasPurpose(FrontalLobe, DecisionMaking).
HasPurpose(FunctionalGroups, Cognition).
HasPurpose(FunctionalGroups, MotorControl).
HasPurpose(FunctionalGroups, SensoryProcessing).
HasPurpose(GPSMeasurements, ConfirmPlateMovements).
HasPurpose(Gargoyles, DecorativeWaterspouts).
HasPurpose(Generalization, PerformWellOnNewData).
HasPurpose(Generalization, PerformWellOnUnseenData).
HasPurpose(Generalization, UnseenDataPerformance).
HasPurpose(GeneticCode, EncodesGeneticInstructions).
HasPurpose(GlobalImpact, InspireRevolutionsWorldwide).
HasPurpose(GlobalImpact, SpreadDemocraticIdeals).
HasPurpose(Glutamate, Excitation).
HasPurpose(GothicArchitecture, MedievalEngineering).
HasPurpose(GothicArchitecture, TheologicalIdeals).
HasPurpose(GothicCathedrals, AdvancementsInEngineering).
HasPurpose(GothicCathedrals, AdvancesInEngineering).
HasPurpose(GothicCathedrals, EngineeringAchievements).
HasPurpose(GothicCathedrals, EngineeringAdvancements).
HasPurpose(GothicCathedrals, EngineeringAdvances).
HasPurpose(GothicCathedrals, HeavenwardAspiration).
HasPurpose(GothicCathedrals, InspireAwe).
HasPurpose(GothicCathedrals, MedievalArtisticAchievements).
HasPurpose(GothicCathedrals, MedievalChristianDevotion).
HasPurpose(GothicCathedrals, MedievalReligiousDevotion).
HasPurpose(GothicCathedrals, ReflectDivineGlory).
HasPurpose(GothicCathedrals, ReflectHeavenlyGlory).
HasPurpose(GothicCathedrals, ReflectingDivineGlory).
HasPurpose(GothicCathedrals, ReflectingMedievalChristianDevotion).
HasPurpose(GothicCathedrals, ReligiousCenters).
HasPurpose(GothicCathedrals, SymbolizeCivicPride).
HasPurpose(GothicCathedrals, SymbolizeDivineGlory).
HasPurpose(GothicCathedrals, SymbolizeHeavenlyAscent).
HasPurpose(GothicCathedrals, SymbolizeReligiousDevotion).
HasPurpose(GothicCathedrals, SymbolizingCivicPride).
HasPurpose(GothicCathedrals, SymbolizingTechnologicalAdvancement).
HasPurpose(GothicCathedrals, TechnologicalAdvancement).
HasPurpose(GovernmentIntervention, AddressUnemployment).
HasPurpose(GovernmentIntervention, BoostDemand).
HasPurpose(GovernmentIntervention, CounteractDownturns).
HasPurpose(GovernmentIntervention, ReduceUnemployment).
HasPurpose(GovernmentIntervention, StabilizeEconomies).
HasPurpose(GovernmentIntervention, StimulateDemand).
HasPurpose(GovernmentSpending, BoostDemand).
HasPurpose(GreatPyramidOfGiza, Khufu).
HasPurpose(GreatPyramidOfGiza, Tomb).
HasPurpose(GroundworkOfTheMetaphysicsOfMorals, Ethics).
HasPurpose(Hieroglyphs, Literature).
HasPurpose(Hieroglyphs, RecordKeeping).
HasPurpose(Hippocampus, Memory).
HasPurpose(Hippocampus, MemoryFormation).
HasPurpose(Hippocampus, SensoryProcessing).
HasPurpose(HumanBrain, BasicReflexes).
HasPurpose(HumanBrain, ComplexThought).
HasPurpose(HydrogenBurning, EnergieFuerSterne).
HasPurpose(HydrogenFusion, EnergieFreisetzen).
HasPurpose(HydrogenFusion, EnergieFuerSterne).
HasPurpose(ImmanuelKant, AddressMetaphysicsEpistemologyEthicsAesthetics).
HasPurpose(ImmanuelKant, AdvocateRationalReligion).
HasPurpose(ImmanuelKant, ArgueJudgmentsOfBeautyAreUniversallyCommunicable).
HasPurpose(ImmanuelKant, CommandActionsBasedOnUniversalizableMaxims).
HasPurpose(ImmanuelKant, DefineEnlightenment).
HasPurpose(ImmanuelKant, EmphasizeActiveRoleOfMind).
HasPurpose(ImmanuelKant, EmphasizeLimitsAndPossibilitiesOfHumanReason).
HasPurpose(ImmanuelKant, EnableCoherentExperience).
HasPurpose(ImmanuelKant, EstablishRationalEthics).
HasPurpose(ImmanuelKant, EstablishedFoundationForModernPhilosophy).
HasPurpose(ImmanuelKant, ExamineLimitsOfHumanKnowledge).
HasPurpose(ImmanuelKant, GermanIdealism).
HasPurpose(ImmanuelKant, LayingFoundationsForModernPhilosophy).
HasPurpose(ImmanuelKant, ModernEpistemology).
HasPurpose(ImmanuelKant, ModernEthics).
HasPurpose(ImmanuelKant, ReconcileEmpiricismWithRationalism).
HasPurpose(ImmanuelKant, ReconcileRationalismEmpiricism).
HasPurpose(ImmanuelKant, RejectExternalInfluences).
HasPurpose(ImmanuelKant, RevolutionizeEpistemology).
HasPurpose(ImmanuelKant, RevolutionizeEthics).
HasPurpose(ImmanuelKant, RevolutionizeMetaphysics).
HasPurpose(ImmanuelKant, ShapedCognitiveTheory).
HasPurpose(ImmanuelKant, ShapedGermanIdealism).
HasPurpose(ImmanuelKant, ShapedModernEthics).
HasPurpose(ImmanuelKant, StressPublicReason).
HasPurpose(ImmanuelKant,ModernPhilosophy).
HasPurpose(ImmanuelKantEmphasis, PhilosophicalDiscourseCentrality).
HasPurpose(ImmanuelKantWork, ModernPhilosophyFoundation).
HasPurpose(JustinianI, BuildHagiaSophia).
HasPurpose(JustinianI, CodifyRomanLaw).
HasPurpose(JustinianI, ExpandEmpire).
HasPurpose(KantEthics, BasedOnDuty).
HasPurpose(KantEthics, CenterOnDuty).
HasPurpose(KantEthics, EmphasizeDutyOverConsequences).
HasPurpose(KantMetaphysics, NecessaryForPracticalReason).
HasPurpose(KantPhilosophy, AffirmHumanDignity).
HasPurpose(KantPhilosophy, AffirmMoralResponsibility).
HasPurpose(KantPhilosophy, DefineScopeAndLimitsOfReason).
HasPurpose(KantPhilosophy, EmphasizesReasonRole).
HasPurpose(KantPhilosophy, GroundKnowledgeInReason).
HasPurpose(KantPhilosophy, GroundMoralityInReason).
HasPurpose(KantPhilosophy, ReconcileHumanFreedom).
HasPurpose(KantPhilosophy, ReconcileHumanFreedomReasonKnowledgeLimits).
HasPurpose(KantTeleology, GuideScientificInquiry).
HasPurpose(KeynesianEconomics, AddressCyclicalUnemployment).
HasPurpose(KeynesianEconomics, AddressRecessions).
HasPurpose(KeynesianEconomics, AddressUnemployment).
HasPurpose(KeynesianEconomics, EconomicStabilization).
HasPurpose(KeynesianEconomics, FiscalStimulus).
HasPurpose(KeynesianEconomics, GovernmentIntervention).
HasPurpose(KeynesianEconomics, InfluencePolicy).
HasPurpose(KeynesianEconomics, ManagingRecessions).
HasPurpose(KeynesianEconomics, ShapePostWWIIEconomicPolicies).
HasPurpose(KeynesianEconomics, ShortTermFixes).
HasPurpose(KeynesianEconomics, StabilizeEconomies).
HasPurpose(KeynesianEconomics,StabilizeEconomicCycles).
HasPurpose(KeynesianPolicies, ShortTermFocus).
HasPurpose(KeynesianPolicies, TargetImmediateEconomicProblems).
HasPurpose(KrebsCycle, AerobicRespiration).
HasPurpose(KrebsCycle, AminoAcidSynthesis).
HasPurpose(KrebsCycle, BiosynthesisPrecursors).
HasPurpose(KrebsCycle, EnergieErzeugung).
HasPurpose(KrebsCycle, EnergyGeneration).
HasPurpose(KrebsCycle, FattyAcidSynthesis).
HasPurpose(KrebsCycle, GenerateEnergy).
HasPurpose(KrebsCycle, GeneratePrecursors).
HasPurpose(KrebsCycle, GeneratesEnergy).
HasPurpose(KrebsCycle, HemeSynthesis).
HasPurpose(KrebsCycle, PrecursorSupply).
HasPurpose(KrebsCycle, ProvidesPrecursors).
HasPurpose(KrebsCycle, SuppliesPrecursors).
HasPurpose(LargeScaleNetworks, Attention).
HasPurpose(LargeScaleNetworks, Introspection).
HasPurpose(LocalCircuits, BasicFunctions).
HasPurpose(LossFunction, MeasurePredictionErrors).
HasPurpose(MachineLearning, AutomateDecisionMaking).
HasPurpose(MachineLearning, AutonomousVehicles).
HasPurpose(MachineLearning, BalancingComplexity).
HasPurpose(MachineLearning, BuildPredictiveModels).
HasPurpose(MachineLearning, DeployingEffectiveMLSystems).
HasPurpose(MachineLearning, DesigningEffectiveMLSystems).
HasPurpose(MachineLearning, FinanceFraudDetection).
HasPurpose(MachineLearning, FraudDetection).
HasPurpose(MachineLearning, HealthcareDiagnosis).
HasPurpose(MachineLearning, ImageRecognition).
HasPurpose(MachineLearning, ImprovePerformance).
HasPurpose(MachineLearning, IterativeImprovement).
HasPurpose(MachineLearning, LearnFromData).
HasPurpose(MachineLearning, NLP).
HasPurpose(MachineLearning, NLPChatbots).
HasPurpose(MachineLearning, NaturalLanguageProcessing).
HasPurpose(MachineLearning, PredictiveAnalytics).
HasPurpose(MachineLearning, RealWorldApplicability).
HasPurpose(MachineLearning, RecommendationSystems).
HasPurpose(MachineLearning, SpeechRecognition).
HasPurpose(MachineLearning, TrainingEffectiveMLSystems).
HasPurpose(MachineLearning, UncoverInsights).
HasPurpose(MainSequenceStars, PowersStarsLikeSun).
HasPurpose(MainSequenceStars, PowersStarsLikeTheSun).
HasPurpose(MajorGrooves, ProteinBinding).
HasPurpose(MantleConvection, PlateMovement).
HasPurpose(Metaphysics, PracticalReason).
HasPurpose(MinorGrooves, ProteinBinding).
HasPurpose(ModelTraining, MinimizeError).
HasPurpose(Monetarists, ControlMoneySupply).
HasPurpose(MoralActions, RationalAutonomy).
HasPurpose(MoralLaw, ReasonBasedEthics).
HasPurpose(MultiplierEffect, IncreaseEmployment).
HasPurpose(MultiplierEffect, IncreaseIncome).
HasPurpose(MultiplierEffect, MagnifiedImpactOnEmployment).
HasPurpose(MultiplierEffect, MagnifiedImpactOnIncome).
HasPurpose(MultiplierEffect, StimulateEconomicActivity).
HasPurpose(Mummification, Afterlife).
HasPurpose(Mummification, BodyPreservation).
HasPurpose(Mummification, Immortality).
HasPurpose(Mummification, PreservingBodies).
HasPurpose(Mummification, SafePassageToAfterlife).
HasPurpose(Myelination, InsulatingAxons).
HasPurpose(Myelination, SpeedUpSignals).
HasPurpose(Myelination, SpeedingUpSignals).
HasPurpose(NADH, ElectronTransportChain).
HasPurpose(NamedByFerdinandVonRichthofen, ReferenceSilk).
HasPurpose(NapoleonicEra, NapoleonsRise).
HasPurpose(NationalAssembly, AddressCrisis).
HasPurpose(NationalAssembly, DraftConstitution).
HasPurpose(NationalAssembly, Reform).
HasPurpose(NationalAssembly, TrueRepresentativeFrance).
HasPurpose(Networks, Cognition).
HasPurpose(Networks, DecisionMaking).
HasPurpose(Networks, Emotion).
HasPurpose(Networks, Memory).
HasPurpose(Networks, MotorControl).
HasPurpose(Networks, Movement).
HasPurpose(Networks, OptimizePathways).
HasPurpose(Networks, SensoryProcessing).
HasPurpose(NeuralNetworks, Adaptability).
HasPurpose(NeuralNetworks, AllBrainFunctions).
HasPurpose(NeuralNetworks, BasicReflexes).
HasPurpose(NeuralNetworks, Behavior).
HasPurpose(NeuralNetworks, BrainFunctions).
HasPurpose(NeuralNetworks, Cognition).
HasPurpose(NeuralNetworks, Communication).
HasPurpose(NeuralNetworks, ComplexThought).
HasPurpose(NeuralNetworks, DecisionMaking).
HasPurpose(NeuralNetworks, Development).
HasPurpose(NeuralNetworks, Efficiency).
HasPurpose(NeuralNetworks, Emotion).
HasPurpose(NeuralNetworks, Emotions).
HasPurpose(NeuralNetworks, HigherCognition).
HasPurpose(NeuralNetworks, InformationProcessing).
HasPurpose(NeuralNetworks, Learning).
HasPurpose(NeuralNetworks, Memory).
HasPurpose(NeuralNetworks, MemoryFormation).
HasPurpose(NeuralNetworks, MotorControl).
HasPurpose(NeuralNetworks, Perception).
HasPurpose(NeuralNetworks, SensoryProcessing).
HasPurpose(NeuralNetworks, UnderpinBrainFunctions).
HasPurpose(Neurons, Communication).
HasPurpose(Neurons, InformationProcessing).
HasPurpose(Neurons, SignalTransmission).
HasPurpose(Neurotransmitters, BehaviorInfluence).
HasPurpose(Neurotransmitters, Cognition).
HasPurpose(Neurotransmitters, CognitionRegulation).
HasPurpose(Neurotransmitters, ModulateSignals).
HasPurpose(Neurotransmitters, MoodRegulation).
HasPurpose(Neurotransmitters, MovementRegulation).
HasPurpose(NeutronStarMergers, DisperseHeavyElements).
HasPurpose(Nile, Agriculture).
HasPurpose(Nile, Trade).
HasPurpose(Nile, Transportation).
HasPurpose(NileFloods, Agriculture).
HasPurpose(NileRiver, Agriculture).
HasPurpose(NileRiver, FertileFarming).
HasPurpose(NileRiver, SustainingCulture).
HasPurpose(NileRiver, SustainingEconomy).
HasPurpose(NileRiver, Trade).
HasPurpose(NileRiver, Transportation).
HasPurpose(OccipitalLobe, Vision).
HasPurpose(Optimization, ImproveModelPerformance).
HasPurpose(Optimization, MinimizeLoss).
HasPurpose(OrnateFacades, DepictingReligiousFigures).
HasPurpose(OrnateFacades, DepictingReligiousStories).
HasPurpose(Papyrus, RecordKeeping).
HasPurpose(Pathways, SensoryProcessing).
HasPurpose(Plasticity, BrainReorganization).
HasPurpose(Plasticity, FormingNewConnections).
HasPurpose(Plasticity, InjuryRecovery).
HasPurpose(Plasticity, Learning).
HasPurpose(Plasticity, LearningAndMemory).
HasPurpose(Plasticity, Memory).
HasPurpose(Plasticity, MemoryFormation).
HasPurpose(Plasticity, Recovery).
HasPurpose(Plasticity, RecoveryFromInjury).
HasPurpose(PlateMovement, SlowMovement).
HasPurpose(PlateMovements, BreakApartContinents).
HasPurpose(PlateMovements, JoinContinents).
HasPurpose(PlateTectonics, AffectDistributionOfLife).
HasPurpose(PlateTectonics, AffectDistributionOfResources).
HasPurpose(PlateTectonics, ExplainContinentalDrift).
HasPurpose(PlateTectonics, ExplainEarthDynamicSurfaceProcesses).
HasPurpose(PlateTectonics, ExplainEarthGeology).
HasPurpose(PlateTectonics, ExplainEarthSurface).
HasPurpose(PlateTectonics, ExplainLithosphereMovement).
HasPurpose(PlateTectonics, ExplainMovement).
HasPurpose(PlateTectonics, ExplainMovementOfEarthLithosphere).
HasPurpose(PlateTectonics, ExplainNaturalHazards).
HasPurpose(PlateTectonics, ExplainPastConfigurations).
HasPurpose(PlateTectonics, ExplainResourceDistribution).
HasPurpose(PlateTectonics, ExplainsEarthDynamicSurface).
HasPurpose(PlateTectonics, ExplainsEarthGeology).
HasPurpose(PlateTectonics, ExplainsEarthTopography).
HasPurpose(PlateTectonics, ExplainsGeologicEvents).
HasPurpose(PlateTectonics, ExplainsNaturalHazards).
HasPurpose(PlateTectonics, ExplainsResourceDistribution).
HasPurpose(PlateTectonics, ExplainsSeafloorSpreading).
HasPurpose(PlateTectonics, InfluenceClimate).
HasPurpose(PlateTectonics, LongTermRecycling).
HasPurpose(PlateTectonics, ProvideMechanism).
HasPurpose(PlateTectonics, RecyclingMaterials).
HasPurpose(PlateTectonics, ShapeEarthSurface).
HasPurpose(PlateTectonics, ShapesEarthSurface).
HasPurpose(PlateTectonics, UnifyGeology).
HasPurpose(PointedArches, EfficientWeightDistribution).
HasPurpose(PointedArches, MoreStableStructures).
HasPurpose(PointedArches, StableStructures).
HasPurpose(PointedArches, TallerStructures).
HasPurpose(PolicyManagement, ManageUnemployment).
HasPurpose(PostWWIIEconomicPolicies,InfluenceStimulusPackages).
HasPurpose(PrefrontalCortex, DecisionMaking).
HasPurpose(PrefrontalCortex, Reasoning).
HasPurpose(ProtonProtonChain, ReleaseEnergy).
HasPurpose(Pruning, EliminateWeakConnections).
HasPurpose(Pruning, EliminatingWeakConnections).
HasPurpose(Pruning, RemovingUnusedConnections).
HasPurpose(Pyramids, PharaohTombs).
HasPurpose(Pyramids, SafePassageToAfterlife).
HasPurpose(Pyramids, Tombs).
HasPurpose(Pyramids, TombsForPharaohs).
HasPurpose(QuantumCryptography, SecureCommunication).
HasPurpose(QuantumEntanglement, Cryptography).
HasPurpose(QuantumEntanglement, QuantumComputing).
HasPurpose(QuantumEntanglement, QuantumCryptography).
HasPurpose(QuantumEntanglement, QuantumKeyDistribution).
HasPurpose(QuantumEntanglement, QuantumTeleportation).
HasPurpose(QuantumEntanglement, Teleportation).
HasPurpose(QuantumEntanglement, TeleportationProtocols).
HasPurpose(RProcess, ProduzierenSchwererElemente).
HasPurpose(Reason, CannotProveGodFreedomImmortality).
HasPurpose(Regions, Specialization).
HasPurpose(ReignOfTerror, SuppressOpposition).
HasPurpose(ReignOfTerror, ThousandsExecuted).
HasPurpose(ReinforcementLearning, InteractWithEnvironment).
HasPurpose(ReinforcementLearning, LearnByInteracting).
HasPurpose(ReinforcementLearning, MaximizeRewards).
HasPurpose(ReleaseEnergy, SustainLuminosity).
HasPurpose(RibbedVaults, CeilingStrengthening).
HasPurpose(RibbedVaults, EfficientWeightDistribution).
HasPurpose(RibbedVaults, EnhancedCeilingSupport).
HasPurpose(RibbedVaults, GreaterHeight).
HasPurpose(RibbedVaults, HigherCeilings).
HasPurpose(RibbedVaults, LargerInteriors).
HasPurpose(RibbedVaults, LargerRoofs).
HasPurpose(RibbedVaults, LargerWindows).
HasPurpose(RibbedVaults, LighterRoofs).
HasPurpose(RibbedVaults, OpenSpaces).
HasPurpose(RibbedVaults, SupportedCeilings).
HasPurpose(RidgePush, PlateMovement).
HasPurpose(RiseOfNapoleon, EstablishConsulate).
HasPurpose(RiseOfNapoleon, EstablishDictatorship).
