IsDefinedAs(30BCE, BecameRomanProvince).
IsDefinedAs(Connectomics, MappingNeuralPathways).
IsDefinedAs(ConstitutionalMonarchy, LimitedPowerLouisXVI).
IsDefinedAs(ConstitutionalMonarchy, LimitingKingLouisXVIPowers).
IsDefinedAs(Convergent, PlatesCollide).
IsDefinedAs(ConvergentBoundaries, PlatesCollide).
IsDefinedAs(CopernicanRevolution, HumanMindActiveRole).
IsDefinedAs(CopernicanRevolution, MindStructuresExperience).
IsDefinedAs(CopernicanRevolution, ObjectsConformToHumanCognition).
IsDefinedAs(CopernicanRevolution,ObjectsConformToHumanCognition).
IsDefinedAs(CopernicanRevolutionInPhilosophy, MindShapesExperience).
IsDefinedAs(CopernicanRevolutionInPhilosophy, ObjectsConformToHumanCognition).
IsDefinedAs(CosmicRecycling, EnrichInterstellarGas).
IsDefinedAs(CounterCyclicalPolicies, RunDeficitsInDownturns).
IsDefinedAs(CounterCyclicalPolicies, RunSurplusesInBooms).
IsDefinedAs(CriticalPhilosophy, ReconcileRationalismAndEmpiricism).
IsDefinedAs(DNA, DoubleStrandedMolecule).
IsDefinedAs(DeclarationOfTheRightsOfMan, PrinciplesOfEqualityFreedomSecularGovernment).
IsDefinedAs(DeclarationOfTheRightsOfMan, PrinciplesOfLiberty).
IsDefinedAs(DeclarationOfTheRightsOfMan, PrinciplesOfLibertyEqualityFraternity).
IsDefinedAs(DeclarationOfTheRightsOfManAndCitizen, PrinciplesOfLibertyAndEquality).
IsDefinedAs(DeontologicalEthics, ActionsFromDuty).
IsDefinedAs(Development, NetworkFormation).
IsDefinedAs(Directory, ModerateWeakGovernment).
IsDefinedAs(Directory, PoliticalBody).
IsDefinedAs(DirectoryRule, CorruptAndWeakGovernment).
IsDefinedAs(Divergent, PlatesMoveApart).
IsDefinedAs(DivergentBoundaries, PlatesMoveApart).
IsDefinedAs(DoubleHelix, TwistedLadderLikeStructure).
IsDefinedAs(EEG, ElectricalActivity).
IsDefinedAs(EndOfMonarchy, FranceBecameRepublic).
IsDefinedAs(EndOfMonarchy, FranceRepublic).
IsDefinedAs(EnergyYield, Produces2FADH₂).
IsDefinedAs(EnergyYield, Produces2GTP).
IsDefinedAs(EnergyYield, Produces6NADH).
IsDefinedAs(EnergyYield, Total2024ATP).
IsDefinedAs(Enlightenment, EmergenceFromSelfImposedImmaturity).
IsDefinedAs(Enlightenment, RationalSelfGovernance).
IsDefinedAs(EnlightenmentIdeas, LibertyEqualityDemocracy).
IsDefinedAs(EstatesGeneral, KingLouisXVIAssembly).
IsDefinedAs(EstatesGeneral, MeetingOfThreeEstates).
IsDefinedAs(EstatesGeneral, NationalAssembly).
IsDefinedAs(EstatesSystem, Clergy).
IsDefinedAs(EstatesSystem, ClergyNobilityCommoners).
IsDefinedAs(EstatesSystem, Commoners).
IsDefinedAs(EstatesSystem, Nobility).
IsDefinedAs(EukaryotesDNA, FormsChromatin).
IsDefinedAs(FallOfConstantinople, EndOfByzantineEmpire).
IsDefinedAs(FormulaOfUniversalLaw, UniversalLawMaxim).
IsDefinedAs(FrenchRevolution, ModelAgainstTyranny).
IsDefinedAs(FrenchRevolution, RadicalSocialPoliticalUpheaval).
IsDefinedAs(FrenchRevolution, ReshapedModernPoliticalThought).
IsDefinedAs(FrenchRevolution, TransformFromMonarchyToRepublic).
IsDefinedAs(FrenchRevolution, TransformToRepublic).
IsDefinedAs(FrenchRevolution, TransformationFromMonarchyToRepublic).
IsDefinedAs(GeneticCode, SequenceOfBases).
IsDefinedAs(GlobalImpact, InspireRevolutions).
IsDefinedAs(GlobalImpact, InspiredRevolutionsWorldwide).
IsDefinedAs(GlobalImpact, SpreadDemocraticIdeals).
IsDefinedAs(GlobalImpact, SpreadOfDemocraticIdeals).
IsDefinedAs(GothicArchitecture, MedievalEngineering).
IsDefinedAs(GothicArchitecture, ReligiousDevotion).
IsDefinedAs(GothicArchitecture, SpiritualAspiration).
IsDefinedAs(GothicArchitecture, TechnologicalAdvancement).
IsDefinedAs(GothicCathedrals, EcclesiasticalPower).
IsDefinedAs(GothicCathedrals, MedievalEngineering).
IsDefinedAs(GothicCathedrals, ReligiousDevotion).
IsDefinedAs(GothicCathedrals, TechnologicalAdvancement).
IsDefinedAs(GreatPyramidOfGiza, SevenWonders).
IsDefinedAs(GreatPyramidOfGiza, Tomb).
IsDefinedAs(HebbianTheory, CellsFireTogetherWireTogether).
IsDefinedAs(HeliumBurning, FusionOfHeliumToCarbonAndOxygen).
IsDefinedAs(HeliumFusion, FuseHeliumIntoCarbonAndOxygen).
IsDefinedAs(HeliumFusion, FusionVonHeliumZuCarbonUndOxygen).
IsDefinedAs(HeliumFusion, TripleAlphaProcess).
IsDefinedAs(Hieroglyphics, PictorialWritingSystem).
IsDefinedAs(Hieroglyphics, WrittenRecords).
IsDefinedAs(Hieroglyphs, PictorialScript).
IsDefinedAs(Hieroglyphs, PictureWriting).
IsDefinedAs(Himalayas, Mountains).
IsDefinedAs(HumanDignity, TreatIndividualsAsEnds).
IsDefinedAs(HumanKnowledge, LimitedToPhenomena).
IsDefinedAs(HumanityAsAnEnd, TreatHumanityAsEnd).
IsDefinedAs(HumanityAsEnd, TreatOthersAsEnds).
IsDefinedAs(HydrogenBurning, FusionOfHydrogenToHelium).
IsDefinedAs(HydrogenFusion, CNOCycle).
IsDefinedAs(HydrogenFusion, FuseHydrogenIntoHelium).
IsDefinedAs(HydrogenFusion, FusionVonHydrogenZuHelium).
IsDefinedAs(HydrogenFusion, ProtonProtonChain).
IsDefinedAs(ImmanuelKant, FoundationalInPhilosophy).
IsDefinedAs(Iron, FusionStops).
IsDefinedAs(Iron, HighestBindingEnergyPerNucleon).
IsDefinedAs(IronLimit, EndeDerNucleosynthesis).
IsDefinedAs(IronLimit, FusionHalt).
IsDefinedAs(IronLimit, FusionStopptBeiIron).
IsDefinedAs(IronLimit, HighestBindingEnergyPerNucleon).
IsDefinedAs(IronPeak, FusionStopsAtIron).
IsDefinedAs(Isis, MagicGoddess).
IsDefinedAs(JudgmentsOfBeauty, SubjectiveButUniversallyValid).
IsDefinedAs(KantEpistemology, SynthesisOfRationalismAndEmpiricism).
IsDefinedAs(KantEthics, DeontologicalEthics).
IsDefinedAs(KantInfluence, CentralInDebatesAboutReason).
IsDefinedAs(KantInfluence, ShapedGermanIdealism).
IsDefinedAs(KantMetaphysics, RejectionOfTraditionalMetaphysics).
IsDefinedAs(KeynesianEconomics, ActiveGovernmentRoles).
IsDefinedAs(KeynesianEconomics, CentralToDebates).
IsDefinedAs(KeynesianEconomics, DemandSideFocus).
IsDefinedAs(KeynesianEconomics, FiscalPolicyDebates).
IsDefinedAs(KeynesianEconomics, InfluentialDuringCrises).
IsDefinedAs(KeynesianEconomics, InfluentialTheory).
IsDefinedAs(KeynesianEconomics, ModernMacroeconomicPolicy).
IsDefinedAs(KeynesianEconomics, PostWWIIEconomicPolicies).
IsDefinedAs(KeynesianEconomics, ShortRunFocus).
IsDefinedAs(KeynesianEconomics, ShortTermFocus).
IsDefinedAs(KrebsCycle, Aerobic).
IsDefinedAs(KrebsCycle, AerobicEnergyProduction).
IsDefinedAs(KrebsCycle, AerobicRespiration).
IsDefinedAs(KrebsCycle, CellularRespiration).
IsDefinedAs(KrebsCycle, CentralMetabolicPathway).
IsDefinedAs(KrebsCycle, CitricAcidCycle).
IsDefinedAs(KrebsCycle, EnergyProduction).
IsDefinedAs(KrebsCycle, MetabolicPathway).
IsDefinedAs(KrebsCycle, TcaCycle).
IsDefinedAs(Landrouten, DurchquerenVonZentralasien).
IsDefinedAs(Legacy, ShapedLaterThinkers).
IsDefinedAs(LegalReforms, AbolishFeudalPrivileges).
IsDefinedAs(LegalReforms, AbolitionOfFeudalPrivileges).
IsDefinedAs(LegalReforms, MeritBasedSystems).
IsDefinedAs(Limitation, FusionStopsAtIron).
IsDefinedAs(Lithosphere, RigidOuterLayer).
IsDefinedAs(Lithosphere, RigidOuterShell).
IsDefinedAs(LowerEgypt, NorthEgypt).
IsDefinedAs(MidAtlanticRidge, MidOceanRidges).
IsDefinedAs(MonarchyAbolished, FranceDeclaredRepublic).
IsDefinedAs(MoralPhilosophy, Deontology).
IsDefinedAs(NapoleonicCoup, EndOfRevolution).
IsDefinedAs(NapoleonicEra, EuropeanWars).
IsDefinedAs(NapoleonicEra, NapoleonsRise).
IsDefinedAs(NapoleonsCoup, EndingRevolution).
IsDefinedAs(NationalAssembly, ThirdEstate).
IsDefinedAs(NationalAssembly, ThirdEstateBreakAway).
IsDefinedAs(NationalAssembly, TrueRepresentative).
IsDefinedAs(Nature, AppearsPurposive).
IsDefinedAs(Networks, FunctionalGroups).
IsDefinedAs(NeuralNetworks, AxonExtension).
IsDefinedAs(NeuralNetworks, Circuits).
IsDefinedAs(NeuralNetworks, DendriteExtension).
IsDefinedAs(NeuralNetworks, HumanIntelligenceAndBehavior).
IsDefinedAs(NeuralNetworks, Neurogenesis).
IsDefinedAs(NeuralNetworks, Pathways).
IsDefinedAs(NeuralNetworks, Pruning).
IsDefinedAs(NeutronCapture, RProcess).
IsDefinedAs(NeutronCapture, SProcess).
IsDefinedAs(Noumena, RealityAsItIsInItself).
IsDefinedAs(Noumena, ThingsAsTheyAre).
IsDefinedAs(Noumena, UnknowableReality).
IsDefinedAs(Noumena, UnknowableThings).
IsDefinedAs(Noumena, UnknowableWorld).
IsDefinedAs(OccipitalLobe, Vision).
IsDefinedAs(Optimization, Myelination).
IsDefinedAs(Optimization, Pruning).
IsDefinedAs(Osiris, UnderworldGod).
IsDefinedAs(Pangaea, Supercontinent).
IsDefinedAs(PangaeaBreakup, ContinentalDrift).
IsDefinedAs(Papyrus, EarlyPaper).
IsDefinedAs(Pharaohs, DivineKings).
IsDefinedAs(Pharaohs, GodKings).
IsDefinedAs(Pharaohs, Gods).
IsDefinedAs(Phenomena, ExperiencedWorld).
IsDefinedAs(Phenomena, HumanExperience).
IsDefinedAs(Phenomena, PerceivedWorld).
IsDefinedAs(Phenomena, ThingsAsTheyAppear).
IsDefinedAs(Phenomena, WorldAsWeExperienceIt).
IsDefinedAs(Plasticity, BrainAdaptation).
IsDefinedAs(PlateTectonics, DrivesGeologicActivity).
IsDefinedAs(PlateTectonics, EarthTopography).
IsDefinedAs(PlateTectonics, GeologicalFeaturesDistribution).
IsDefinedAs(PlateTectonics, InfluencesClimate).
IsDefinedAs(PlateTectonics, InfluencesLifeEvolution).
IsDefinedAs(PlateTectonics, ScientificTheory).
IsDefinedAs(PlateTectonics, SeismicActivity).
IsDefinedAs(PlateTectonics, ShapesEarthSurface).
IsDefinedAs(PlateTectonics, UnifiedGeology).
IsDefinedAs(PrefrontalCortex, DecisionMaking).
IsDefinedAs(PrimordialElements, HydrogenHeliumLithium).
IsDefinedAs(Principle1, UniversalLawsMaxim).
IsDefinedAs(Principle2, HumanityAsEnd).
IsDefinedAs(QuantumEntanglement, AlainAspect’s1982Experiment).
IsDefinedAs(QuantumEntanglement, Bell’sTheorem).
IsDefinedAs(QuantumEntanglement, CentralToQuantumTheory).
IsDefinedAs(QuantumEntanglement, DefiniteStatesUponObservation).
IsDefinedAs(QuantumEntanglement, ExperimentallyConfirmed).
IsDefinedAs(QuantumEntanglement, HiddenVariableTheoriesRuledOut).
IsDefinedAs(QuantumEntanglement, InstantaneousInfluence).
IsDefinedAs(QuantumEntanglement, NoCommunicationTheorem).
IsDefinedAs(QuantumEntanglement, NoFasterThanLightCommunication).
IsDefinedAs(QuantumEntanglement, PhaenomenWoZweiOderMehrTeilchenKorreliertSind).
IsDefinedAs(QuantumEntanglement, QuantumInformationScience).
IsDefinedAs(QuantumEntanglement, RelativityPreservation).
IsDefinedAs(QuantumEntanglement, SuperpositionOfStates).
IsDefinedAs(RProcess, RapidNeutronCapture).
IsDefinedAs(Ra, SunGod).
IsDefinedAs(Regulation, ControlledByATPADPRatios).
IsDefinedAs(Regulation, ControlledByKeyEnzymes).
IsDefinedAs(Regulation, ControlledBySubstrateAvailability).
IsDefinedAs(ReignOfTerror, RadicalJacobinsExecutions).
IsDefinedAs(ReignOfTerror, RobespierreCommitteeOfPublicSafety).
IsDefinedAs(ReignOfTerror, RobespierreLed).
IsDefinedAs(ReignTerror, SuppressOpposition).
IsDefinedAs(ReligionAndEnlightenment, RationalReligion).
IsDefinedAs(ResearchTools, ComputationalModels).
IsDefinedAs(ResearchTools, EEG).
IsDefinedAs(ResearchTools, fMRI).
IsDefinedAs(RiseNapoleon, EstablishDictatorship).
IsDefinedAs(RiseOfNapoleon, EstablishDictatorship).
IsDefinedAs(RiseOfNapoleon, NapoleonBonaparteCoup).
IsDefinedAs(RiseOfNapoleon, NapoleonCoup).
IsDefinedAs(RiseOfNapoleon, NapoleonDictatorship).
IsDefinedAs(RiseOfNapoleon, NapoleonsCoup).
IsDefinedAs(SProcess, SlowNeutronCapture).
IsDefinedAs(SanAndreasFault, TransformBoundary).
IsDefinedAs(SchismOf1054, SplitBetweenEasternOrthodoxAndRomanCatholicChurches).
IsDefinedAs(SeafloorSpreading, Mechanism).
IsDefinedAs(SecularReforms, IntroducedMetricSystem).
IsDefinedAs(SecularReforms, SeizedChurchLands).
IsDefinedAs(Secularization, ChurchLandsSeized).
IsDefinedAs(Secularization, IncreasedStateControl).
IsDefinedAs(Secularization, ReducedChurchPower).
IsDefinedAs(Secularization, SeizeChurchLands).
IsDefinedAs(Secularization, SeizureOfChurchLands).
IsDefinedAs(Secularization, StateSeparatedFromReligion).
IsDefinedAs(Secularization, SuppressReligion).
IsDefinedAs(Seerouten, VerbindenVonChinaMitIndienArabienOstafrika).
IsDefinedAs(SeptemberMassacres, RadicalViolence).
IsDefinedAs(SilkRoad, AncientNetwork).
IsDefinedAs(SilkRoad, AncientNetworkOfTradeRoutes).
IsDefinedAs(SilkRoad, EarlyGlobalization).
IsDefinedAs(SilkRoad, NetworkOfTradeRoutes).
IsDefinedAs(SilkRoad, NetzwerkVonHandelsrouten).
IsDefinedAs(SilkRoad, TradeRouteNetwork).
IsDefinedAs(SilkRoad, UNESCOWeltkulturerbe).
IsDefinedAs(SilkRoadNiedergang, AufstiegVonSeehandel).
IsDefinedAs(SilkRoadNiedergang, KontrolleDurchOsmanischesReich).
IsDefinedAs(SilkRoadNiedergang, StoerungenDurchMongolenreich).
IsDefinedAs(SilkRoadTerm, FerdinandVonRichthofen).
IsDefinedAs(SocialInequality, RigidFeudalSystem).
IsDefinedAs(SpreadOfRevolutionaryIdeas, DemocraticMovementsWorldwide).
IsDefinedAs(SpreadOfRevolutionaryIdeas, InspiredNationalism).
IsDefinedAs(StainedGlass, DivineGlory).
IsDefinedAs(StellarContributions, VerteilungSynthetisierterElemente).
IsDefinedAs(StellarNucleosynthesis, ExplainOriginOfMostElements).
IsDefinedAs(StellarNucleosynthesis, ExplainsOriginOfMostElements).
IsDefinedAs(StellarNucleosynthesis, OriginOfMostElements).
IsDefinedAs(StellarNucleosynthesis, ProcessByWhichStarsProduceHeavierElements).
IsDefinedAs(StellarNucleosynthesis, ProduceHeavierElementsThroughNuclearFusion).
IsDefinedAs(StellarNucleosynthesis, ProduceNewAtomicNuclei).
IsDefinedAs(StellarNucleosynthesis, Prozess).
IsDefinedAs(StellarRecycling, EnrichInterstellarGas).
IsDefinedAs(StormingBastille, StartRevolution).
IsDefinedAs(StormingOfTheBastille, AttackOnRoyalTyranny).
IsDefinedAs(StormingOfTheBastille, SymbolicStart).
IsDefinedAs(Sugar, Deoxyribose).
IsDefinedAs(SugarPhosphateBackbone, AlternatingSugarAndPhosphateGroups).
IsDefinedAs(SugarPhosphateBackbone, AlternatingSugarPhosphateGroups).
IsDefinedAs(SupernovaNucleosynthesis, CreateElementsHeavierThanIron).
IsDefinedAs(SupernovaNucleosynthesis, ErzeugungSchwererElementeDurchRProcess).
IsDefinedAs(SupernovaNucleosynthesis, ExplosiveNucleosynthesis).
IsDefinedAs(Synapses, CommunicationJunctions).
IsDefinedAs(Synapses, Junctions).
IsDefinedAs(Synapses, JunctionsBetweenNeurons).
IsDefinedAs(Synapses, NeuronJunctions).
IsDefinedAs(SyntheticAPrioriKnowledge, NecessarilyTruePropositions).
IsDefinedAs(SyntheticAPrioriKnowledge, NecessarilyTrueYetExpandKnowledge).
IsDefinedAs(SyntheticAPrioriKnowledge, NecessaryTruthsGroundedInHumanCognition).
IsDefinedAs(SyntheticAPrioriKnowledge, PropositionsThatAreNecessarilyTrueYetExpandKnowledge).
IsDefinedAs(SyntheticAPrioriKnowledge, UniversallyValidTruths).
IsDefinedAs(SyntheticAPrioriKnowledge, UniversallyValidTruthsNotFromExperience).
IsDefinedAs(TectonicPlates, LargeSmallPlates).
IsDefinedAs(TennisCourtOath, NationalAssemblyVow).
IsDefinedAs(TennisCourtOath, VowToDraftConstitution).
IsDefinedAs(TheDirectory, InstabilityPersisted).
IsDefinedAs(ThermidorianReaction, EndOfTerror).
IsDefinedAs(TranscendentalIdealism, DistinctionBetweenPhenomenaAndNoumena).
IsDefinedAs(TranscendentalIdealism, DistinguishPhenomenaAndNoumena).
IsDefinedAs(TranscendentalIdealism, HumanKnowledgeLimitedToPhenomena).
IsDefinedAs(TranscendentalIdealism, HumanPerceptionStructuresReality).
IsDefinedAs(TranscendentalIdealism, KnowPhenomenaNotUltimateReality).
IsDefinedAs(TranscendentalIdealism, PerceiveOnlyPhenomena).
IsDefinedAs(TranscendentalIdealism, PerceptionShapesReality).
IsDefinedAs(Transform, PlatesSlidePast).
IsDefinedAs(TransformBoundaries, PlatesSlidePast).
IsDefinedAs(TrueFreedom, SelfGivenRationalLaws).
IsDefinedAs(Universalizability, ActAccordingToUniversalLaws).
IsDefinedAs(UpperEgypt, SouthEgypt).
IsDefinedAs(fMRI, ActivityMapping).
