tool_id,in_frontend,in_mcp,category,label,is_mcp_category,write,status
merge_data,True,False,ADVANCED_LOGIC,Merge Data,False,False,OK (Workflow-only)
mock_data,True,False,DEBUGGING,Mock Data,False,False,OK (Workflow-only)
move_file,True,False,FILE_OPERATIONS,Move/Rename File,True,True,MISSING in MCP
multi_edit,True,False,FILE_OPERATIONS,Multi-Edit File,True,True,MISSING in MCP
niche_list,True,False,NICHE_SYSTEM,List All Niches,True,False,MISSING in MCP
niche_query,True,False,NICHE_SYSTEM,Query a Niche,True,False,MISSING in MCP
niche_stats,True,False,NICHE_SYSTEM,Get Niche Stats,True,False,MISSING in MCP
outputs,False,True,,,False,,EXTRA in MCP
parallel,True,False,FLOW_CONTROL,Parallel,False,False,OK (Workflow-only)
path,False,True,,,False,,EXTRA in MCP
project_hub_digest,True,False,PROJECT_HUB,Create Hub Digest,True,False,MISSING in MCP
project_list_snapshots,True,False,PROJECT_HUB,List Project Snapshots,True,False,MISSING in MCP
project_snapshot,True,False,PROJECT_HUB,Create Project Snapshot,True,True,MISSING in MCP
properties,False,True,,,False,,EXTRA in MCP
query,False,True,,,False,,EXTRA in MCP
query_related,True,False,KNOWLEDGE_BASE,Query Related Facts,True,False,MISSING in MCP
rate_limiter,True,False,TIME_SCHEDULING,Rate Limiter,False,False,OK (Workflow-only)
read_file,True,False,FILE_OPERATIONS,Read File,True,False,MISSING in MCP
reduce_aggregate,True,False,ITERATION,Reduce/Aggregate,False,False,OK (Workflow-only)
regex_extract,True,False,DATA_TRANSFORMATION,Regex Extract,False,False,OK (Workflow-only)
reliability_checker,True,False,AI_DELEGATION,Check Tool Reliability,True,False,MISSING in MCP
rest_client,True,False,HTTP_REQUESTS,REST Client,False,False,OK (Workflow-only)
retry_with_backoff,True,False,ERROR_HANDLING,Retry with Backoff,False,False,OK (Workflow-only)
schedule_task,True,False,TIME_SCHEDULING,Schedule Task,False,False,OK (Workflow-only)
schedule_trigger,True,False,FLOW_CONTROL,Schedule Trigger,False,False,OK (Workflow-only)
search,True,False,FILE_OPERATIONS,Unified Search,True,False,MISSING in MCP
search_by_predicate,True,False,KNOWLEDGE_BASE,Search by Predicate,True,False,MISSING in MCP
search_knowledge,True,False,KNOWLEDGE_BASE,Search Knowledge,True,False,MISSING in MCP
semantic_similarity,True,False,KNOWLEDGE_BASE,Find Similar,True,False,MISSING in MCP
sentry_find_organizations,True,False,SENTRY_MONITORING,Find Sentry Orgs,True,False,MISSING in MCP
sentry_find_projects,True,False,SENTRY_MONITORING,Find Sentry Projects,True,False,MISSING in MCP
sentry_search_issues,True,False,SENTRY_MONITORING,Search Sentry Issues,True,False,MISSING in MCP
sentry_test_connection,True,False,SENTRY_MONITORING,Test Sentry Connection,True,False,MISSING in MCP
sentry_whoami,True,False,SENTRY_MONITORING,Sentry Who Am I,True,False,MISSING in MCP
set_fields,True,False,DATA_TRANSFORMATION,Set/Edit Fields,False,False,OK (Workflow-only)
set_global_state,True,False,STATE_MANAGEMENT,Set Global State,False,True,OK (Workflow-only)
set_workflow_context,True,False,STATE_MANAGEMENT,Set Workflow Context,False,True,OK (Workflow-only)
sort_items,True,False,ADVANCED_LOGIC,Sort Items,False,False,OK (Workflow-only)
split_in_batches,True,False,ITERATION,Split In Batches,False,False,OK (Workflow-only)
string_template,True,False,DATA_TRANSFORMATION,String Template,False,False,OK (Workflow-only)
switch_case,True,False,ADVANCED_LOGIC,Switch/Case,False,False,OK (Workflow-only)
task,False,True,,,False,,EXTRA in MCP
task_description,False,True,,,False,,EXTRA in MCP
test_trigger,True,False,DEBUGGING,Manual Test Trigger,False,False,OK (Workflow-only)
thesis_pattern_analysis,True,False,ENGINES,THESIS Pattern Analysis,False,False,OK (Workflow-only)
timeout,False,True,,,False,,EXTRA in MCP
timeout_handler,True,False,TIME_SCHEDULING,Timeout Handler,False,False,OK (Workflow-only)
timer_trigger,True,False,TIME_SCHEDULING,Timer Trigger,False,False,OK (Workflow-only)
try_catch,True,False,ERROR_HANDLING,Try/Catch Block,False,False,OK (Workflow-only)
update_fact,True,False,KNOWLEDGE_BASE,Update Fact,True,True,MISSING in MCP
validate_facts,True,False,KNOWLEDGE_BASE,Validate Facts Syntax,True,False,MISSING in MCP
wait_for_webhook,True,False,FLOW_CONTROL,Wait for Webhook,False,False,OK (Workflow-only)
webhook_send,True,False,HTTP_REQUESTS,Send Webhook,False,False,OK (Workflow-only)
write_file,True,False,FILE_OPERATIONS,Write File,True,True,MISSING in MCP
